found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
HST F814W,F814W_053_4280813,150.13751275655716,2.084862587515011,-6.259828090667725,19.13455581665039,6633.26806640625,053,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6095053,149.84943304860607,2.1859125164551516,-5.745471000671387,16.150089263916016,5781.5234375,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4346499,149.9291374792086,1.999038179963628,-5.620492935180664,15.447933197021484,5770.3251953125,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2759283,150.03750021514634,1.8596438308208352,-6.246146202087402,16.230302810668945,5593.83203125,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7256949,150.0758051805107,2.431374965894791,-5.147018909454346,14.360595703125,5408.5498046875,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8248221,150.27016129533334,2.504149333982044,-6.426487922668457,15.108985900878906,5386.77099609375,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_078_7435378,150.0426306941872,2.3968617032272466,-6.38880729675293,14.750561714172363,5246.396484375,078,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4346062,149.9317751790699,1.998727001011396,-5.634503364562988,11.929682731628418,4456.1396484375,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5363842,150.44648302882703,2.2890954265230303,-4.511514663696289,11.897744178771973,4447.1962890625,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2735054,150.00931602932692,1.8462487340273794,-5.78334379196167,12.425050735473633,4282.33837890625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5320127,150.47189006119442,2.2091341059093215,-5.360441207885742,11.434175491333008,4273.92138671875,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8247830,150.27405764366014,2.50363490675083,-5.869553565979004,11.970184326171875,4267.70166015625,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8247941,150.27268532570835,2.5037836705339966,-5.803764343261719,11.909990310668945,4246.24072265625,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8247358,150.27885168482382,2.5029837568301865,-4.824551582336426,11.755558967590332,4191.181640625,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4431815,149.7904022203774,1.9583333131323777,-5.602064609527588,10.93807601928711,3984.570068359375,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8390509,150.11714319393766,2.464267762991149,-5.674429416656494,11.481301307678223,3942.34814453125,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2732613,150.0204195048098,1.8452682864534478,-5.681976795196533,11.340531349182129,3908.554931640625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2477819,150.2419760156178,1.9298329292786256,-5.581586837768555,9.608088493347168,3711.728759765625,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8485486,150.21739669216674,2.549402049335206,-5.235958576202393,10.672194480895996,3664.524169921875,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_3877394,150.27616982173683,1.9982710834162611,-5.120187759399414,9.923409461975098,3646.197998046875,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2478701,150.2365543679318,1.9305653991931349,-5.429588317871094,9.253802299499512,3574.863525390625,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_053_4280727,150.13836542502625,2.0847403758143908,-5.410467147827148,9.5391263961792,3306.875,053,True,False,True,False,True,True,True,True,True
HST F814W,F814W_043_2942070,149.7666400517047,1.938941747132141,-4.681508541107178,8.413209915161133,3156.071533203125,043,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4357576,149.89201220706406,2.0083165866448107,-4.985359191894531,8.36567497253418,3124.8623046875,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730953,150.02210026380786,1.8446087753088887,-5.503507137298584,8.7903413772583,3029.622802734375,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4346063,149.9317227972272,1.9987185642891172,-5.422523021697998,7.924602508544922,2960.106689453125,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730984,150.0219678199208,1.8446255767052508,-5.438604831695557,8.393043518066406,2892.692626953125,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2731083,150.0215717348161,1.8446628710750224,-5.098672866821289,8.022940635681152,2765.13525390625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730936,150.02213661855512,1.8446016852309732,-5.248613357543945,7.363885879516602,2537.98974609375,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4067367,150.32466462710985,2.0980984153761892,-5.089725971221924,6.730275630950928,2472.93212890625,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730859,150.02241811615485,1.8445676031549094,-5.100357532501221,6.936739444732666,2390.772216796875,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_066_5798897,149.9919860989786,2.1495783752362043,-4.855360507965088,7.104966640472412,2332.090576171875,066,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6095026,149.84977362871393,2.185869816119072,-4.69188117980957,6.487174034118652,2322.324462890625,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8391879,150.11270162390892,2.4648851158446834,-4.192730903625488,6.761070728302002,2321.556884765625,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_066_5799958,149.98886212675163,2.1500163224704036,-4.93408727645874,6.7910075187683105,2229.03857421875,066,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730860,150.0223758677455,1.8445558378891167,-4.906639575958252,6.249051570892334,2153.758056640625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8391753,150.11322472619273,2.4648074541193234,-4.964189529418945,6.215845108032227,2134.34228515625,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730289,150.02453789360746,1.8443017575150906,-4.877591609954834,5.7536187171936035,1983.00537109375,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4066990,150.32823451416604,2.0976544512739492,-4.048281669616699,5.387272357940674,1979.467041015625,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2477207,150.24566677182642,1.929291146223623,-4.182353496551514,5.044809818267822,1948.875244140625,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730551,150.0235024161062,1.8444143376879654,-4.748043060302734,5.219576835632324,1798.9459228515625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7282312,150.2278380679646,2.4565186004312043,-4.858719825744629,4.640713691711426,1747.8056640625,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6095021,149.84983792914215,2.18586260103509,-3.5049147605895996,4.8227620124816895,1726.486572265625,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730254,150.02463857195136,1.8442728982968675,-4.590685844421387,4.8435959815979,1669.36279296875,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4454534,149.87613019861797,2.010353076965446,-3.845684051513672,4.533501148223877,1651.483642578125,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4454134,149.88043902181394,2.0097934168673652,-4.517292499542236,4.47670841217041,1630.794921875,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2730723,150.02284190983303,1.8445116503162533,-4.7436933517456055,4.708621978759766,1622.843505859375,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_079_7524723,149.85415604864704,2.400196310190476,-3.789769172668457,4.205560207366943,1531.100341796875,079,True,False,True,False,True,True,True,True,True
HST F814W,F814W_079_7524724,149.85412813522754,2.4002002110078204,-3.5043585300445557,4.035417079925537,1469.1571044921875,079,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4454423,149.8771193892508,2.010189170935678,-3.2847986221313477,3.9166393280029297,1426.7705078125,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4452748,149.89538492446323,2.0077943055992624,-3.347266674041748,3.896120309829712,1419.295654296875,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4454426,149.87707739158583,2.010195044392143,-3.3686330318450928,3.4018707275390625,1239.248291015625,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8247373,150.27903762779172,2.5030117032907477,-2.704525947570801,3.061619520187378,1091.552001953125,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_043_2936225,149.77155199511694,1.9286076512567425,-3.6577508449554443,2.352926015853882,882.6598510742188,043,True,False,True,False,True,True,True,True,True
HST F814W,F814W_076_7159018,150.37285278805524,2.4433418420528312,-3.9691081047058105,2.2065742015838623,838.9956665039062,076,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2392468,150.22705541204834,1.8140280326408516,-3.8051726818084717,1.8277308940887451,706.0760498046875,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2380983,150.28652654686337,1.7919880356484355,-3.00358510017395,1.6988953351974487,656.3052368164062,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2571067,150.0769719400615,1.8545321896628377,-3.0942225456237793,1.4247075319290161,534.9656372070312,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_3911905,150.3114032649337,2.0366987045728875,-3.4212136268615723,1.426009178161621,523.9642333984375,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_076_7093665,150.30092486083112,2.340391317540332,-3.2686994075775146,1.349293828010559,513.0358276367188,076,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2729977,150.02915757154037,1.8441476459675106,-2.06900691986084,1.4859563112258911,512.1401977539062,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_079_7482276,149.79686643947915,2.3247107409211862,-2.849717617034912,1.3893823623657227,505.8265075683594,079,True,False,True,False,True,True,True,True,True
HST F814W,F814W_053_4270432,150.12266677386117,2.052931443878516,-3.4556751251220703,1.3846814632415771,480.0196838378906,053,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4064160,150.27296184904858,2.0922535952522234,-3.2115488052368164,1.175452709197998,431.90130615234375,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2558931,150.18234225920557,1.8327942364769685,-2.7498176097869873,1.1378039121627808,427.2357482910156,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2725655,150.0223440576798,1.8417630534852194,-3.357231855392456,1.1999541521072388,413.5685119628906,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3667879,150.39640459824886,1.9714088424087657,-3.0654098987579346,1.0779547691345215,385.26397705078125,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2554348,150.16517982227435,1.8250665754230648,-2.485201597213745,0.9836714863777161,369.3603210449219,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8255833,150.26587264313684,2.523030904138718,-3.0051283836364746,1.027355670928955,366.28070068359375,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_076_7109105,150.2790214518719,2.3684080624360813,-2.9861021041870117,0.9579327702522278,364.23040771484375,076,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4330432,149.9605676962208,1.9828764452513394,-2.993095874786377,0.9414973258972168,351.6810607910156,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2621847,150.09238320144655,1.9320548781337157,-2.883871078491211,0.9088886976242065,341.280029296875,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_041_2524982,150.18443560999975,1.7989329852891374,-2.675366163253784,0.8599278330802917,322.8956298828125,041,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4454519,149.87596293579952,2.010344475070791,-1.8746228218078613,0.8540038466453552,311.1002502441406,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8646946,150.00343328051267,2.517395793811504,-2.384965181350708,0.8414711356163025,305.3472900390625,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4431659,149.79201302088475,1.9580825133879893,-1.2128452062606812,0.7856301069259644,286.1927490234375,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2810428,149.9208248800818,1.8981402212862233,-2.4494469165802,0.8037644624710083,277.02032470703125,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8704770,149.91421019396995,2.6056278320925483,-2.878934144973755,0.7510764598846436,272.5455017089844,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8637306,149.9029827019219,2.499799873923012,-2.802468776702881,0.748872697353363,271.7458190917969,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2729167,150.02903137340272,1.8437349040306683,-2.0718953609466553,0.7360216379165649,253.67250061035156,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7206457,150.07700635106227,2.349160041893324,-2.7636144161224365,0.6558513641357422,247.00958251953125,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_067_6219681,149.7855268588573,2.266499034736465,-2.7122089862823486,0.6897571086883545,246.92413330078125,067,True,False,True,False,True,True,True,True,True
HST F814W,F814W_090_8635535,149.98820401304513,2.4969964022587265,-2.5392630100250244,0.6777580976486206,245.9402313232422,090,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8428890,150.0939730392242,2.4843364150638343,-2.5185933113098145,0.6547765135765076,224.83139038085938,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8609520,150.09722295393226,2.6164821060604426,-2.539492130279541,0.6055512428283691,207.92884826660156,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_054_4423376,150.00380928058382,2.114556674038107,-2.4920754432678223,0.5559054613113403,207.64947509765625,054,True,False,True,False,True,True,True,True,True
HST F814W,F814W_043_2945318,149.7884988840253,1.9444482095375593,-2.3716368675231934,0.5508326292037964,206.6354217529297,043,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2729168,150.02900871761014,1.843743687562051,-2.109041452407837,0.5962126851081848,205.48684692382812,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7212252,150.09629610306095,2.3568219970200994,-2.5116097927093506,0.5391973853111267,203.07484436035156,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_029_1209558,150.1924937266495,1.7845618120187987,-2.6129708290100098,0.7171809673309326,199.66429138183594,029,True,False,True,False,True,True,True,True,True
HST F814W,F814W_064_5448705,150.2870858652837,2.2196898988881646,-2.4666025638580322,0.5441752672195435,199.3726806640625,064,True,False,True,False,True,True,True,True,True
HST F814W,F814W_040_2470285,150.36165204899459,1.9185674556834942,-2.311279058456421,0.5042470693588257,194.7971649169922,040,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7191896,150.0775101431546,2.3265792586111673,-2.3193893432617188,0.5051169991493225,190.23934936523438,077,True,False,True,False,True,True,True,True,True
