euclid_id,hst_id,jwst_id,ra_ref,dec_ref,n_epochs,has_HST,has_JWST,pm_ra_mas_yr,pm_dec_mas_yr,pm_tot_mas_yr,dra_HE_mas,ddec_HE_mas,dra_JE_mas,ddec_JE_mas
VIS_101539935_0138398,F814W_020_0193251,,149.5956310214749,1.5834047116576109,2,True,False,-48.66875691799881,-43.02014519741266,64.9567609471849,-949.0407599009768,-838.8928313495469,,
VIS_101539935_0138401,F814W_020_0193252,,149.59350067644607,1.5834371072156423,2,True,False,-10.337844894944583,-38.37895899962973,39.746893349885745,-201.58797545141937,-748.3897004927798,,
VIS_101539935_0138403,F814W_020_0193060,,149.59247891986186,1.5834585791210765,2,True,False,-6.105858796978937,15.020481332410458,16.214079409757932,-119.06424654108926,292.89938598200393,,
VIS_101539935_0138414,F814W_020_0193310,,149.5924929655653,1.5835463741874842,2,True,False,37.1375458806744,-34.4942369281398,50.685793821285266,724.1821446731508,-672.6376200987261,,
VIS_101539935_0138415,F814W_021_0224523,,149.49180710469102,1.5835474252783637,2,True,False,-34.14401978628895,-243.95854936257476,246.33633084516447,-665.8083858326346,-4757.1917125702075,,
VIS_101539935_0138418,F814W_020_0193285,,149.59414530067596,1.5835923621437,2,True,False,-17.598239328593355,-15.968792343092385,23.76342476082216,-343.1656669075704,-311.3914506903015,,
VIS_101539935_0138419,F814W_020_0193210,,149.59267595069068,1.5835477390554622,2,True,False,-31.981039428142847,-5.811207451777989,32.50472296377909,-623.6302688487855,-113.31854530967078,,
VIS_101539935_0138430,F814W_020_0193318,,149.5943504339058,1.5837531903326834,2,True,False,-4.818137473609411,1.1010510597623342,4.94234379123944,-93.95368073538353,21.47049566536552,,
VIS_101539935_0138434,F814W_020_0192952,,149.5962779366059,1.5837226715765147,2,True,False,-117.47368226252765,92.03770637179731,149.23473261442354,-2290.736804119289,1794.7352742500477,,
VIS_101539935_0138437,F814W_020_0193578,,149.59191921234168,1.5837526745756112,2,True,False,-36.513759253570775,-84.44035796840465,91.99689488596908,-712.0183054446302,-1646.5869803838907,,
VIS_101539935_0138447,F814W_020_0193956,,149.5636730363459,1.5838423470536167,2,True,False,-155.66844116957745,-170.17314967321138,230.6329647857552,-3035.53460280676,-3318.376418627622,,
VIS_101539935_0138462,F814W_020_0193450,,149.59366623336263,1.5839711316632552,2,True,False,-31.342416385629033,-6.8956212789436,32.09200301808485,-611.1771195197662,-134.4646149394002,,
VIS_101539935_0138473,F814W_020_0193319,,149.59303738116407,1.5840251583704834,2,True,False,-30.343387511412228,51.13835311029756,59.46303326017945,-591.6960564725384,997.1978856508024,,
VIS_101539935_0138479,F814W_020_0193403,,149.59314644686032,1.584097122385367,2,True,False,-38.733926081768864,31.42472712504776,49.878156587745366,-755.3115585944929,612.7821789384313,,
VIS_101539935_0138483,F814W_021_0223612,,149.50152624765147,1.5840701351917263,2,True,False,-91.45083513056352,169.23656628607867,192.36494122989203,-1783.2912850459886,3300.113042578534,,
VIS_101539935_0138487,F814W_020_0193384,,149.59266710403872,1.5840687611464546,2,True,False,-29.748818123585796,31.353819435481643,43.22099227161465,-580.101953409923,611.399478991892,,
VIS_101539935_0138509,F814W_020_0193528,,149.59319781303137,1.584192769575681,2,True,False,-41.361179617823645,11.810848107775595,43.01445469145013,-806.5430025475611,230.31153810162408,,
VIS_101539935_0138513,F814W_020_0193657,,149.59821729412675,1.584267778433253,2,True,False,0.23790509128489007,-15.724473111907637,15.726272714141947,4.639149280055356,-306.6272256821989,,
VIS_101539935_0138514,F814W_020_0193696,,149.59467818209805,1.5842752336563974,2,True,False,-84.37033066117222,-21.225189051061914,86.99920313502219,-1645.2214478928584,-413.8911864957073,,
VIS_101539935_0138520,F814W_020_0193600,,149.594276481446,1.5843623759094088,2,True,False,-12.69921252743105,20.392596723467065,24.023488504853358,-247.63464428490545,397.6556361076078,,
VIS_101539935_0138526,F814W_020_0193786,,149.59390653024664,1.5844171415199113,2,True,False,-35.84528589199023,-22.834940335250472,42.50081200157196,-698.9830748938095,-445.2813365373842,,
VIS_101539935_0138530,F814W_020_0194040,,149.58231642132898,1.5844221009807264,2,True,False,-32.582977796908445,-84.39676816640083,90.46803258083509,-635.3680670397147,-1645.7369792448162,,
VIS_101539935_0138534,F814W_020_0193790,,149.59303030982582,1.584460568647915,2,True,False,-21.299460170052214,-14.980461472697144,26.03999288537929,-415.33947331601814,-292.1189987175943,,
VIS_101539935_0138540,F814W_020_0193693,,149.59324853870535,1.584440326097938,2,True,False,-53.601190889090084,9.390717365033762,54.41758206093524,-1045.2232223372566,183.11898861815834,,
VIS_101539935_0138551,F814W_021_0224230,,149.52741135045747,1.5845509750255102,2,True,False,-169.97342627788925,43.7883257417773,175.5231697295632,-3314.4818124188405,853.8723519646574,,
VIS_101539935_0138560,F814W_021_0224214,,149.49545049342825,1.5845785023663514,2,True,False,38.45813169771502,54.79917997221516,66.94757664998801,749.9335681054429,1068.5840094581956,,
VIS_101539935_0138587,F814W_020_0193836,,149.5814945210629,1.5847454149785498,2,True,False,89.71084054968459,27.09120892542015,93.71215776606415,1749.3613907188496,528.278574045693,,
VIS_101539935_0138594,F814W_020_0194045,,149.59377853368179,1.5847524577985843,2,True,False,-40.51760864518383,-25.62248082685305,47.93942150304619,-790.0933685810846,-499.6383761236345,,
VIS_101539935_0138595,F814W_020_0193917,,149.59324381818936,1.5847482952372458,2,True,False,-35.61551218905094,6.800034300570045,36.258863398862424,-694.5024876864933,132.60066886111588,,
VIS_101539935_0138599,F814W_020_0193947,,149.5944168207326,1.5848676738403282,2,True,False,-58.35317627677674,20.414791744180697,61.82116873326522,-1137.8869373971465,398.0884390115236,,
VIS_101539935_0138605,F814W_020_0193996,,149.5943010271367,1.5848764254728678,2,True,False,-2.7496916470855193,8.45073954711331,8.886833128128194,-53.618987118167624,164.78942116870954,,
VIS_101539935_0138621,F814W_020_0194141,,149.5982046489101,1.58500154142503,2,True,False,-1.3783429446324469,-3.7145877829248573,3.9620691147521203,-26.877687420332716,-72.43446176703472,,
VIS_101539935_0138622,F814W_020_0194152,,149.5944995254292,1.585035151503012,2,True,False,-23.240728536905774,0.4888557151698609,23.24586937149051,-453.1942064696626,9.532686445812288,,
