found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,gaia_bright_veto
JWST F115W,F115W_A3_0252770,150.0412744012428,2.1575421289567958,-3.4087064266204834,1.1197997331619263,38.56742858886719,A3,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101544257_1214923,150.02106814030049,2.2872699324787993,0.20792768895626068,0.04810096696019173,38.56723403930664,101544257,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_B8_1107689,150.08991360231508,2.2251939918918757,-3.1848511695861816,1.1133699417114258,38.56721878051758,B8,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101542817_0847885,150.01284033556263,2.079601698243948,-0.06043066829442978,0.05245773121714592,38.5669059753418,101542817,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101545697_1556303,150.02777136491852,2.5604015188518705,-0.07278431951999664,0.05531281232833862,38.56568908691406,101545697,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101547137_2003201,150.50055931381908,2.715196960793624,0.5650310516357422,0.07225687801837921,38.56535339355469,101547137,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A4_0305746,150.25410238675389,2.034560093860018,-2.8293490409851074,1.1385955810546875,38.56428527832031,A4,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545696_1522339,149.80118051273595,2.6146947597928656,0.5515158772468567,0.053824953734874725,38.559207916259766,101545696,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B6_1030022,149.96244422459162,2.457766843836453,-3.055720806121826,1.14857017993927,38.55747604370117,B6,False,True,False,True,False,True,False,True,True,False
JWST F115W,F115W_A3_0271044,150.16604232757783,2.1553914865761947,-3.4472174644470215,1.119506597518921,38.557334899902344,A3,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101545695_1450744,149.75011258191338,2.453265008516769,-0.6523840427398682,0.13357052206993103,38.557273864746094,101545695,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A9_0586799,150.19744193663038,1.7861445481765925,-2.7504520416259766,1.1388943195343018,38.555946350097656,A9,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545697_1563707,150.13678907669126,2.614831918196393,1.0796964168548584,0.055298421531915665,38.5556526184082,101545697,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_B7_1085606,150.04047959498834,2.395464773503675,-3.380908727645874,1.1355150938034058,38.55464553833008,B7,False,True,False,True,True,True,True,True,True,False
JWST F115W,F115W_A4_0331544,150.25918147395305,2.1218409376567613,-2.6207075119018555,1.1383002996444702,38.55428695678711,A4,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_A8_0566133,150.10834530239734,1.9803242081732542,-2.4268991947174072,1.1474275588989258,38.55390930175781,A8,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101544258_1269347,150.43344137991926,2.3062628768023203,0.5629949569702148,0.05359189957380295,38.55360412597656,101544258,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A8_0577957,150.09943558673706,2.01816788205238,-3.4163596630096436,1.1473511457443237,38.55134201049805,A8,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101548575_2322014,150.0602061448716,2.860258068806029,0.37780559062957764,0.07376311719417572,38.54964828491211,101548575,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A1_0011536,149.7816776810096,2.1391059551460807,-3.4686315059661865,1.0875487327575684,38.54914855957031,A1,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545696_1485504,149.7582254493937,2.512982603744372,1.056280255317688,0.05381033942103386,38.54874038696289,101545696,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101541379_0570517,150.5300395661866,1.764506493876353,0.9410967826843262,0.05744839459657669,38.54701614379883,101541379,False,True,False,True,False,False,False,True,True,False
