euclid_id,ra_ref,dec_ref,n_epochs,pm_ra_mas_yr,pm_dec_mas_yr,pm_ra_err,pm_dec_err,pm_tot_mas_yr,sharp_F115W,mag_F115W,mag_F814W,mag_VIS
VIS_101542817_0844527,149.9587917929009,2.051993696373487,3,73.78859176820667,-46.8113933937364,1.2931768551410134,1.2931768551410134,87.38456858392222,0.66308343,-1.7473983,0.579272,0.46474433
VIS_101545698_1580045,150.2923698656495,2.45836512394451,2,72.81610234151317,44.518422798025014,2.761622978017693,2.761622978017693,85.34679096857381,0.6581853,,,0.34576213
VIS_101545698_1584664,150.453082602724,2.495928580266258,2,-51.37616769395927,-68.12378248308885,2.761622978017693,2.761622978017693,85.32502766903171,0.65698254,,,-1.4975959
VIS_101541379_0563301,150.4933574346562,1.7017017494202238,2,-85.09599430831322,2.5009317230074437,2.761622978017693,2.761622978017693,85.13273698644736,0.6059361,,,0.86602
VIS_101539936_0190589,149.91518757647648,1.619501033520311,2,-49.55232014610416,-66.99500932035434,2.761622978017693,2.761622978017693,83.32924880074442,0.71400374,,,0.20771024
VIS_101545694_1402760,149.46641626881748,2.359483888249318,2,-58.693775404533106,-58.75148315999796,2.761622978017693,2.761622978017693,83.0463487742676,0.7197636,,,-0.44980472
VIS_101545697_1553427,150.02651333352694,2.5387985693042268,2,-81.54607783964846,2.0142641855176606,2.761622978017693,2.761622978017693,81.5709511483044,0.69457346,,,-0.3792949
VIS_101545698_1600521,150.24453858497827,2.6210374570599746,2,-79.17981074439028,-18.634402979682374,2.761622978017693,2.761622978017693,81.34299849358061,0.6226751,,,-0.20907165
VIS_101541379_0555927,150.4539174607442,1.6335720693912201,2,26.084337267071756,-76.38697654886232,2.761622978017693,2.761622978017693,80.71779752284368,0.65722156,,,0.22473443
VIS_101548573_2224523,149.7803401835371,2.8874715715336308,2,-55.8396465031416,56.48719135749052,2.761622978017693,2.761622978017693,79.42838855883686,0.6291478,,,0.8747113
VIS_101548576_2413176,150.37046620836267,2.8835400774571083,2,-78.9624818162185,7.728789052198802,2.761622978017693,2.761622978017693,79.33982426745112,0.71898127,,,0.87033975
VIS_101539937_0242019,150.059490645487,1.593478078425621,2,-77.49981143150598,-16.25485756362966,2.761622978017693,2.761622978017693,79.18611725759051,0.67392987,,,0.5034591
VIS_101542820_1010959,150.77239191958074,2.056850091691975,2,60.78363715281741,50.13419481109881,2.761622978017693,2.761622978017693,78.79142107414089,0.74463886,,,-2.1038156
VIS_101541379_0584137,150.53465179239956,1.8711409324394876,2,75.92786718161638,-6.639197708484364,2.761622978017693,2.761622978017693,76.21758301705403,0.6214127,,2.5998962,1.3138717
VIS_101541378_0548807,150.35689973622348,1.8572904839212105,3,-0.9414487627496295,-76.03517610623523,1.2931768551410134,1.2931768551410134,76.04100427584507,0.5451309,-7.7311935,,-5.4317813
VIS_101545700_1721709,150.73527029689103,2.5222633893646695,2,-70.52322307470251,-27.319626550911178,2.761622978017693,2.761622978017693,75.62993446860511,0.64834523,,0.9015181,-0.2888344
VIS_101544260_1346544,150.74969259511874,2.229234842900516,2,66.77598531854132,-34.97584781453177,2.761622978017693,2.761622978017693,75.38131164690179,0.60984975,,,0.594509
VIS_101539937_0243053,150.14798211228427,1.6016064119316633,2,-40.39746385757945,62.869593788378715,2.761622978017693,2.761622978017693,74.72978595740915,0.74739254,,-2.273932,-0.6484843
VIS_101541376_0490417,149.77429125647555,1.625644526902551,2,36.07284524176372,64.55983264937579,2.761622978017693,2.761622978017693,73.95418957403052,0.7200483,,0.24941874,0.78064287
VIS_101544256_1163405,149.7883610461776,2.3274751845810004,2,-12.094016911133574,71.31117053758699,2.761622978017693,2.761622978017693,72.32944274973781,0.64052856,,,-2.9065099
VIS_101541376_0508341,149.7388721262232,1.7484469326122716,2,70.84598859635132,10.223645832851954,2.761622978017693,2.761622978017693,71.57986472682057,0.6703768,,2.8861415,1.618829
VIS_101542820_1005706,150.76803375033612,2.0400280610803367,2,-13.15307186741728,-69.4399672111464,2.761622978017693,2.761622978017693,70.67469381493301,0.67000467,,,0.2371903
