found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
Euclid VIS,VIS_101539937_0241178,150.04132018620584,1.5858930622654215,-8.69808292388916,532.6817016601562,336762.25,101539937,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101548573_2230627,149.5619867763242,2.9211846612569645,-8.663702011108398,487.2051086425781,335041.4375,101548573,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539935_0137004,149.6351425334539,1.5693180328455258,-9.009086608886719,590.9686889648438,333372.71875,101539935,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101545700_1714036,150.88619804902532,2.5039283161749424,-8.855192184448242,567.5384521484375,331385.96875,101545700,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101541379_0554214,150.66788248372512,1.6186480216610921,-8.628557205200195,485.9891052246094,326091.4375,101541379,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539935_0138090,149.64441716295497,1.5808884667643035,-8.957393646240234,574.693603515625,324191.75,101539935,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101545700_1663691,150.84325639658286,2.389179022130451,-8.871334075927734,554.2482299804688,323625.78125,101545700,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101547139_2161879,150.80918724273843,2.7912964869211727,-8.88548469543457,621.0067749023438,322964.90625,101547139,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539936_0188954,149.68558614913977,1.604771715836471,-8.618999481201172,529.414794921875,320551.28125,101539936,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101548573_2224107,149.66628609467878,2.884084514568951,-8.499664306640625,463.7012634277344,318878.3125,101548573,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101545700_1754301,150.830614366645,2.591475141540843,-8.747642517089844,536.1267700195312,313044.65625,101545700,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539937_0240086,150.0057004566332,1.5766365383569927,-8.56059741973877,493.6659851074219,312096.46875,101539937,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101547139_2160390,150.84547931079885,2.776054602638864,-9.029607772827148,597.5751953125,310778.9375,101547139,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539937_0241189,149.9392523201864,1.5859877067114239,-8.770159721374512,480.3359680175781,303669.1875,101539937,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101548573_2240506,149.76167929557076,2.956148787357805,-8.377335548400879,439.1171875,301972.3125,101548573,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101548576_2417415,150.30818912689594,2.9249432133496414,-9.02091121673584,563.0963134765625,301097.9375,101548576,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101542814_0666934,149.44185853932547,1.9328968547658456,-8.832420349121094,557.1077270507812,299205.8125,101542814,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539937_0232609,150.1104403529061,1.512399267169492,-8.575410842895508,472.84259033203125,298931.875,101539937,False,True,False,True,False,False,False,True,True
