primary_id,jwst_id,desi_targetid,desi_type,desi_z,desi_zerr,desi_zwarn,desi_sep,our_cls,is_agn,F814W,gaia_pmra,gaia_pmdec,gaia_pmtot,gaia_pmtoterr,gaia_pmra_err,gaia_pmdec_err,pmtot_HST_Euclid_VIS,pmerr_HST_Euclid_VIS,pmflag_HST_Euclid_VIS,pmtot_HST_Euclid_NISP,pmerr_HST_Euclid_NISP,pmflag_HST_Euclid_NISP,pmtot_HST_JWST,pmerr_HST_JWST,pmflag_HST_JWST,pmtot_JWST_Euclid_VIS,pmerr_JWST_Euclid_VIS,pmflag_JWST_Euclid_VIS,pmtot_JWST_Euclid_NISP,pmerr_JWST_Euclid_NISP,pmflag_JWST_Euclid_NISP
729837,729837.0,3.9089837550144456e+16,star,0.00013389355564536357,3.0168756489541124e-05,4.0,0.04017480927831062,star,False,21.23333,,,,,,,6.2574429310362225,1.7566094582381502,ok,6.2574429310362225,2.4414394703304843,ok,5.513702335516388,1.6644366174464973,ok,13.154065709606906,36.05708338340291,ok,13.154065709606906,63.32202394668036,ok
725165,725165.0,3.908983755013561e+16,galaxy,1.1392441582739887,9.971762749900337e-05,4.0,0.00407537850683028,star,False,23.583584,,,,,,,4.745131261985273,1.7603034814529683,ok,14.240450103857377,2.5879813406546925,ok,1.3124960485134112,1.6658786208746006,ok,41.968917085230395,36.074940275545394,ok,41.968917085230395,63.80453039668707,ok
168931,168931.0,3.908983755011744e+16,star,0.0007173072523521964,1.9044610499985715e-05,0.0,0.024648207953279794,star,False,20.589912,,,,,,,5.453647101103946,1.7444565729592858,ok,5.453647101103946,2.2245587162404368,ok,8.09120989890373,1.664398196415791,ok,68.52940015890375,36.05628636331455,ok,68.52940015890375,63.34700604502795,ok
163313,163313.0,3.908983755011006e+16,galaxy,0.03739199770848194,3.2937251577789356e-05,4.0,0.05640979035567198,star,False,23.342514,,,,,,,9.23144903698073,1.7278635730810186,ok,9.23144903698073,2.195334769711192,ok,5.94281784162401,1.6654748594905253,ok,29.428463771980013,36.06962085040073,ok,29.428463771980013,63.88881091012573,ok
735041,735041.0,3.962784160783066e+16,quasar,2.1565539931239757,0.0004603429944294894,0.0,0.02851109278957143,AGN/QSO,True,23.195042,,,,,,,0.7526559466380623,1.80987217204923,ok,5.357139065345643,2.7280214021216316,ok,2.020523187971412,1.66659645430165,ok,13.15846895156704,36.075591976655794,ok,13.15846895156704,63.8121594298368,ok
736922,736922.0,3.9089837550124664e+16,star,-0.0001277292520680084,9.998942550970829e-06,0.0,0.014414312822588935,star,False,19.607599,0.28906507695843797,-3.5919656556042794,3.603578206416182,0.7452187939149426,0.5039951205253601,0.5489444136619568,1.7197367402821684,1.7848911116398427,ok,1.7197367402821684,2.371143800804679,ok,2.434948547028121,1.6643722125280564,gaia_consistent,17.669912936445712,36.05586722870198,ok,17.669912936445712,63.27539501925559,ok
733923,733923.0,3.9627841607830456e+16,quasar,1.1899832740687564,0.0005611791884677785,0.0,0.03345072990894977,AGN/QSO,True,22.824516,,,,,,,2.2098942610233636,1.8276259947609519,ok,10.320428027713884,2.5659819690056174,ok,2.566254194800485,1.6653614072718248,ok,6.114965024062457,36.056782146747345,ok,6.114965024062457,63.47335998387812,ok
502452,502452.0,3.9089837395054776e+16,star,0.000130174433948237,3.2904333368662014e-06,0.0,0.027627712166814016,star,False,19.01543,-2.3015184629731595,5.314755107717457,5.7916844778022165,0.9332659801810779,0.6521174907684326,0.6676287651062012,1.7695160205789655,1.7810822249218474,ok,1.7695160205789655,2.5097448216741354,ok,10.653265083102731,1.664365666478874,gaia_consistent,,,inconsistent_with_gaia,,,inconsistent_with_gaia
734495,734495.0,2.3058430377936845e+18,star,0.00016393908794031255,1.0268231343093261e-05,0.0,0.0746802855445516,star,False,18.307022,-14.865179681261417,-7.421883084278582,16.614990685308488,0.399260252950392,0.27141496539115906,0.29281848669052124,3.060625298522229,3.172231951494163,ok,4.180415765405442,2.2531274284736087,ok,15.67659501409514,1.6643612965364054,gaia_consistent,36.80247359138211,36.0556272401204,ok,36.80247359138211,63.25251796068609,ok
501410,501410.0,3.908983755014816e+16,quasar,1.712838253611001,0.0003078428174397515,0.0,0.0027734534082064105,AGN/QSO,True,20.612179,,,,,,,3.412573341658335,1.777069463588171,ok,3.412573341658335,2.3286105991227575,ok,2.285890553849472,1.6643997254057161,ok,25.99498837348345,36.056259007609974,ok,25.99498837348345,63.589229382007254,ok
