found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,in_common_v5,sharpness
HST F814W,F814W_090_8715672,149.92746165703986,2.6231264049503014,-0.6680678725242615,0.09066906571388245,32.901371002197266,090,True,False,True,False,True,True,True,True,True,True,0.6247138977050781
HST F814W,F814W_053_4243131,150.1919198504194,2.0134569837161878,-0.6724931001663208,0.09488186240196228,32.89215850830078,053,True,False,True,False,True,True,False,True,True,True,0.6198868751525879
HST F814W,F814W_063_5345131,150.42063425775982,2.2546511572629986,-0.7033950686454773,0.08742683380842209,32.67882537841797,063,True,False,True,False,True,True,True,True,True,True,0.6231537461280823
HST F814W,F814W_088_8242452,150.37969827964787,2.490046303877716,-0.7659998536109924,0.09094487875699997,32.42436218261719,088,True,False,True,False,True,True,True,True,True,True,0.6644196510314941
HST F814W,F814W_090_8713570,150.0130885474913,2.618941157019121,-0.7060377597808838,0.0891302078962326,32.342960357666016,090,True,False,True,False,True,True,True,True,True,True,0.5801303386688232
HST F814W,F814W_088_8245554,150.33974334728808,2.498574507171758,-0.26409292221069336,0.09029880166053772,32.19401931762695,088,True,False,True,False,True,True,False,True,True,True,0.6291719675064087
HST F814W,F814W_076_7125904,150.22928005849545,2.395157849312376,-0.6674321889877319,0.08386542648077011,31.88776969909668,076,True,False,True,False,True,True,True,True,True,True,0.552253246307373
HST F814W,F814W_054_4369234,149.90061936502102,2.0257939941006606,0.8814382553100586,0.08503027260303497,31.76167869567871,054,True,False,True,False,True,True,True,True,True,True,0.6802533864974976
HST F814W,F814W_087_8128152,150.51486568466325,2.464127059658682,0.5039831399917603,0.08427872508764267,31.581954956054688,087,True,False,True,False,True,True,True,True,True,True,0.6416078805923462
HST F814W,F814W_040_2423950,150.3114772885058,1.867077224103403,-0.4275386929512024,0.08127862215042114,31.398983001708984,040,True,False,True,False,True,True,True,True,True,True,0.5661616921424866
HST F814W,F814W_053_4242936,150.19197488963542,2.01339142610055,-0.5160540342330933,0.09033236652612686,31.31501007080078,053,True,False,True,False,True,True,False,True,True,True,0.584962785243988
HST F814W,F814W_075_7057753,150.45241630561685,2.450444375121319,-0.6843823194503784,0.08405762165784836,31.2735652923584,075,True,False,True,False,True,True,True,True,True,True,0.5629798769950867
HST F814W,F814W_090_8687530,150.02501142662769,2.5815332136955536,-0.5460952520370483,0.08585071563720703,31.152921676635742,090,True,False,True,False,True,True,True,True,True,True,0.5623244643211365
HST F814W,F814W_064_5573228,150.3829213401207,2.2565545579663224,-0.6463897824287415,0.08500561118125916,31.14400291442871,064,True,False,True,False,True,True,True,True,True,True,0.6487920880317688
HST F814W,F814W_066_5943799,149.99419994948704,2.21957867089613,-0.5612512826919556,0.09479347616434097,31.114429473876953,066,True,False,True,False,True,True,True,True,True,True,0.5618060231208801
HST F814W,F814W_075_7056680,150.4022004482695,2.448477140999902,-0.5772618055343628,0.08356214314699173,31.089223861694336,075,True,False,True,False,True,True,True,True,True,True,0.6244410872459412
HST F814W,F814W_042_2811435,150.03275459386947,1.900917858346014,-0.14658305048942566,0.08917608112096786,30.7348575592041,042,True,False,True,False,True,True,True,True,True,True,0.5780808925628662
HST F814W,F814W_051_3710326,150.42531700122223,2.065691736436007,-0.6892677545547485,0.08569246530532837,30.62672233581543,051,True,False,True,False,True,True,True,True,True,True,0.6149767637252808
HST F814W,F814W_042_2764212,150.00220346545402,1.862117999187038,-0.4555414617061615,0.08859463036060333,30.53445816040039,042,True,False,True,False,True,True,False,True,True,True,0.6587737798690796
HST F814W,F814W_063_5313260,150.43888264591698,2.1995107033853536,-0.4868467152118683,0.08152658492326736,30.47340202331543,063,True,False,True,False,True,True,True,True,True,True,0.5541598200798035
HST F814W,F814W_075_7047150,150.4148735489691,2.430171789995483,-0.6569692492485046,0.08184094727039337,30.448854446411133,075,True,False,True,False,True,True,True,True,True,True,0.6072143316268921
HST F814W,F814W_077_7231448,150.09097900656974,2.3916422039371406,-0.6024916172027588,0.08074388653039932,30.410112380981445,077,True,False,True,False,True,True,True,True,True,True,0.6571170091629028
HST F814W,F814W_040_2413619,150.31885054286084,1.8481221410378748,-0.5704346299171448,0.07860240340232849,30.36512565612793,040,True,False,True,False,True,True,True,True,True,True,0.6051368117332458
