found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,veto_gaia,veto_peak,veto_local,veto_any,sharpness
Euclid VIS,VIS_101541376_0518349,149.83444305331952,1.8128537982717174,0.8508050441741943,0.04073561355471611,35.42292022705078,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6768017411231995
Euclid VIS,VIS_101545697_1535207,150.10587730166242,2.392545677100134,0.34970107674598694,0.05080485716462135,35.422611236572266,101545697,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6046068668365479
JWST F115W,F115W_A1_0063568,149.88753948769707,2.2853987988263924,-2.663731336593628,0.9993175268173218,35.421714782714844,A1,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6837932467460632
Euclid VIS,VIS_101542817_0844832,150.142248076257,2.0544560472538507,0.34623536467552185,0.04817664995789528,35.419456481933594,101542817,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6694629788398743
Euclid VIS,VIS_101542817_0824645,150.14942192700613,1.9058295299517056,0.9980506300926208,0.048171646893024445,35.41577911376953,101542817,False,True,True,True,False,False,True,True,True,False,False,False,False,0.681147575378418
JWST F115W,F115W_B3_0828174,150.2359963048796,2.443443078019305,-3.400890827178955,1.0458190441131592,35.41339874267578,B3,False,True,False,True,True,True,True,True,True,False,False,False,False,0.590853214263916
JWST F115W,F115W_A1_0068768,149.84363675408972,2.3116725589544553,-2.6076784133911133,0.9990764260292053,35.413169860839844,A1,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6636019945144653
JWST F115W,F115W_B10_0709164,150.38197712437588,2.1633423224084556,-3.0925683975219727,1.0764847993850708,35.41195297241211,B10,False,True,False,True,False,True,True,True,True,False,False,False,False,0.7734361886978149
JWST F115W,F115W_A5_0361891,150.35408053667973,1.9948308809526252,-2.712290048599243,1.067319631576538,35.40779113769531,A5,False,True,False,True,True,True,True,True,True,False,False,False,False,0.622292697429657
Euclid VIS,VIS_101542818_0932294,150.32966215729772,2.059586565592379,-0.09046468138694763,0.054175857454538345,35.403900146484375,101542818,True,True,True,True,False,False,False,True,True,False,False,False,False,0.731625497341156
Euclid VIS,VIS_101541376_0497517,149.78559940036675,1.6752100759223874,1.0182812213897705,0.04071357473731041,35.40375518798828,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6478330492973328
Euclid VIS,VIS_101541375_0473415,149.54579309755425,1.7964517096608665,0.17193588614463806,0.04541885480284691,35.39814376831055,101541375,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7048586010932922
Euclid VIS,VIS_101547136_1900453,150.12383665196683,2.6406663007279616,0.4438649117946625,0.06819672137498856,35.39795684814453,101547136,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6552291512489319
Euclid VIS,VIS_101541375_0457765,149.4965634287011,1.6938419864908998,0.09175604581832886,0.04541856795549393,35.397918701171875,101541375,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6293635368347168
JWST F115W,F115W_B1_0685860,150.0419744043918,2.6013196551113005,-2.7562358379364014,1.0580172538757324,35.39722442626953,B1,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6885926723480225
Euclid VIS,VIS_101542814_0671903,149.46044961127524,1.9553046085932588,-0.1783839762210846,0.06590405106544495,35.395084381103516,101542814,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6099889278411865
Euclid VIS,VIS_101542817_0846901,149.95152826724686,2.0711996143950486,0.7760608792304993,0.04813656955957413,35.38998794555664,101542817,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6562457084655762
Euclid VIS,VIS_101541376_0512980,149.7613444059342,1.7775989846839761,1.1819686889648438,0.04069576412439346,35.388267517089844,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6887266039848328
Euclid VIS,VIS_101545700_1689074,150.7395573134958,2.445441481388179,0.647208034992218,0.060605984181165695,35.38785934448242,101545700,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6376362442970276
Euclid VIS,VIS_101547135_1832051,150.01147326323022,2.8022554993550237,0.057352177798748016,0.06162361428141594,35.3864631652832,101547135,False,True,False,True,False,False,False,True,True,False,False,False,False,0.5816278457641602
Euclid VIS,VIS_101544257_1216056,150.05023325015037,2.295153708393424,0.6606018543243408,0.044132769107818604,35.38554382324219,101544257,False,True,True,True,False,False,True,True,True,False,False,False,False,0.6124870777130127
Euclid VIS,VIS_101545696_1522641,149.8594706779035,2.6157302424476976,0.2174774408340454,0.0493943952023983,35.38523864746094,101545696,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6940651535987854
Euclid VIS,VIS_101544258_1269081,150.33418735888583,2.3045887907966263,0.0562332421541214,0.049187399446964264,35.385040283203125,101544258,True,True,True,True,False,False,False,True,True,False,False,False,False,0.6741617321968079
Euclid VIS,VIS_101541376_0509742,149.6627747710636,1.7575766102766859,1.2858575582504272,0.040690913796424866,35.38405227661133,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.690298318862915
JWST F115W,F115W_B4_0885641,150.31554174236334,2.393834462170553,-2.717456340789795,1.0481752157211304,35.38307189941406,B4,False,True,False,True,True,True,False,True,True,False,False,False,False,0.6305241584777832
JWST F115W,F115W_A1_0052710,149.90204667646435,2.24113872417294,-3.093247413635254,0.9982221722602844,35.38288879394531,A1,False,True,False,True,False,True,True,True,True,False,False,False,False,0.546875536441803
Euclid VIS,VIS_101545696_1454127,149.82561175309885,2.3771815929253117,1.3901692628860474,0.049389176070690155,35.381500244140625,101545696,True,True,True,True,False,False,True,True,True,False,False,False,False,0.7279938459396362
JWST F115W,F115W_B2_0783978,150.06632909183037,2.5519846732558555,-2.818143606185913,1.0553556680679321,35.38106918334961,B2,False,True,False,True,True,True,False,True,True,False,False,False,False,0.6423758864402771
Euclid VIS,VIS_101539937_0244513,150.01939426514053,1.6131080505477133,0.788952648639679,0.05596329644322395,35.380088806152344,101539937,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6783022284507751
Euclid VIS,VIS_101544256_1187810,149.91478533860382,2.391112061264353,1.7450997829437256,0.0401282012462616,35.37992477416992,101544256,True,True,True,True,False,False,True,True,True,False,False,False,False,0.797944188117981
Euclid VIS,VIS_101544258_1266989,150.4415864416387,2.2913501576993194,0.6037153005599976,0.04917966201901436,35.37947463989258,101544258,True,True,True,True,False,False,True,True,True,False,False,False,False,0.6560845375061035
JWST F115W,F115W_B6_1024311,149.93868132972892,2.4331722088021537,-3.3420040607452393,1.0538818836212158,35.37879180908203,B6,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6975814700126648
