found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,vetoed_by_sat_v2,sharpness
JWST F115W,F115W_B7_1039583,150.0015246681815,2.245023766463292,-6.781623363494873,39.43084716796875,1338.81298828125,B7,False,True,False,True,False,True,True,True,True,False,0.6677929759025574
JWST F115W,F115W_B9_1171489,150.29297102398536,2.151606838470371,-5.956595420837402,39.042755126953125,1336.380859375,B9,False,True,False,True,False,True,True,True,True,False,0.6321789622306824
JWST F115W,F115W_A10_0103172,150.34125576077037,1.8426559495332293,-6.033709526062012,39.484344482421875,1334.9818115234375,A10,False,True,False,True,False,True,True,True,True,False,0.6364599466323853
Euclid VIS,VIS_101545696_1498588,149.75149612443397,2.54616300292256,-2.5005979537963867,1.8634438514709473,1334.93701171875,101545696,False,True,False,True,False,False,False,True,True,False,0.6243640184402466
Euclid VIS,VIS_101544256_1136227,149.73199103153294,2.161981939112875,-3.027583599090576,1.5132572650909424,1334.1971435546875,101544256,True,True,True,True,False,False,False,True,True,False,0.6507580280303955
Euclid VIS,VIS_101544258_1276685,150.22922532797628,2.3599982889315174,-3.291062116622925,1.8537940979003906,1333.6053466796875,101544258,True,True,True,True,False,False,False,True,True,False,0.6501892805099487
JWST F115W,F115W_A2_0191134,149.91927044712622,2.262825633956325,-6.705255508422852,39.21900939941406,1328.4140625,A2,False,True,False,True,False,True,True,True,True,False,0.6610945463180542
Euclid VIS,VIS_101544258_1236555,150.385971202047,2.1224450132110455,-3.232405662536621,1.839915156364441,1323.6209716796875,101544258,False,True,True,True,False,False,False,True,True,False,0.665000855922699
JWST F115W,F115W_A5_0390608,150.43791456231153,2.0902797977067635,-6.209774017333984,39.867610931396484,1322.587890625,A5,False,True,False,True,False,True,True,True,True,False,0.668632984161377
Euclid VIS,VIS_101547137_2000487,150.5152637875478,2.6882388740892744,-3.591251850128174,2.47649884223938,1321.7711181640625,101547137,False,True,False,True,False,False,False,True,True,False,0.6651204228401184
JWST F115W,F115W_A5_0389094,150.34956511492575,2.1182876693780615,-6.207759857177734,39.75855255126953,1318.9698486328125,A5,False,True,False,True,False,True,True,True,True,False,0.5712384581565857
JWST F115W,F115W_B6_0981012,149.82718425403473,2.3197765794635417,-6.665666103363037,39.26753234863281,1318.210205078125,B6,False,True,False,True,False,True,True,True,True,False,0.6580469608306885
JWST F115W,F115W_A3_0210307,150.00470506077048,2.0558742633244247,-6.578261852264404,38.11212158203125,1312.6334228515625,A3,False,True,False,True,False,True,True,True,True,False,0.6380703449249268
