seq,id,ra,dec,mag,tile,hstpng
118,157,149.864604,2.528767,23.14,091,sn_acs_only_0118_hst.png
119,295,149.845450,2.535173,18.97,091,sn_acs_only_0119_hst.png
120,258,149.876369,1.648895,22.86,031,sn_acs_only_0120_hst.png
121,85,149.879644,2.574191,21.56,091,sn_acs_only_0121_hst.png
122,35,149.848571,1.732179,23.95,031,sn_acs_only_0122_hst.png
123,163,149.871008,2.606871,22.85,091,sn_acs_only_0123_hst.png
124,239,149.877679,2.401657,24.22,079,sn_acs_only_0124_hst.png
125,110,149.895749,1.815954,18.79,042,sn_acs_only_0125_hst.png
126,129,149.895169,1.825848,21.14,042,sn_acs_only_0126_hst.png
127,158,149.885969,1.794781,20.39,031,sn_acs_only_0127_hst.png
128,125,149.910609,2.153968,20.33,066,sn_acs_only_0128_hst.png
129,178,149.892239,2.774477,19.50,102,sn_acs_only_0129_hst.png
130,189,149.892247,2.766557,24.25,102,sn_acs_only_0130_hst.png
131,147,149.909055,2.828647,22.01,114,sn_acs_only_0131_hst.png
132,35,149.879294,2.226343,21.64,067,sn_acs_only_0132_hst.png
133,143,149.925680,2.574380,19.16,090,sn_acs_only_0133_hst.png
134,292,149.897913,2.000218,24.05,054,sn_acs_only_0134_hst.png
135,295,149.897418,2.000810,20.74,054,sn_acs_only_0135_hst.png
136,99,149.908476,1.696236,24.27,030,sn_acs_only_0136_hst.png
137,148,149.920331,1.717322,23.78,030,sn_acs_only_0137_hst.png
138,27,149.948852,2.619308,19.97,090,sn_acs_only_0138_hst.png
139,93,149.938536,2.606994,24.00,090,sn_acs_only_0139_hst.png
140,247,149.923307,2.607880,22.28,090,sn_acs_only_0140_hst.png
141,148,149.934007,1.755586,21.42,030,sn_acs_only_0141_hst.png
142,174,149.931819,1.773486,22.34,030,sn_acs_only_0142_hst.png
143,204,149.921079,1.741840,22.26,030,sn_acs_only_0143_hst.png
144,205,149.927477,1.778987,23.96,030,sn_acs_only_0144_hst.png
145,209,149.918821,1.730092,21.19,030,sn_acs_only_0145_hst.png
146,221,149.920078,1.746811,22.86,030,sn_acs_only_0146_hst.png
147,217,149.936320,2.697426,24.00,102,sn_acs_only_0147_hst.png
148,36,149.959075,1.779929,23.60,030,sn_acs_only_0148_hst.png
149,71,149.952217,1.778044,20.65,030,sn_acs_only_0149_hst.png
150,366,149.924267,2.149849,19.38,066,sn_acs_only_0150_hst.png
151,136,149.950790,1.859981,23.10,042,sn_acs_only_0151_hst.png
152,269,149.963951,2.783152,23.58,102,sn_acs_only_0152_hst.png
153,302,149.967996,2.773302,24.22,102,sn_acs_only_0153_hst.png
154,55,149.986962,2.540423,24.15,090,sn_acs_only_0154_hst.png
155,327,149.960012,2.032405,21.61,054,sn_acs_only_0155_hst.png
156,260,149.980365,2.335946,23.01,078,sn_acs_only_0156_hst.png
157,281,149.972311,2.085910,24.01,054,sn_acs_only_0157_hst.png
158,309,149.967729,2.082436,21.76,054,sn_acs_only_0158_hst.png
159,21,150.016501,1.795426,21.25,042,sn_acs_only_0159_hst.png
160,224,149.999739,2.450573,21.08,078,sn_acs_only_0160_hst.png
161,16,150.033220,1.867815,19.45,042,sn_acs_only_0161_hst.png
162,137,150.009408,1.852610,23.85,042,sn_acs_only_0162_hst.png
163,154,150.008157,1.852961,21.65,042,sn_acs_only_0163_hst.png
