seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
89,201,149.756180,1.963669,23.42,101542816,sn_acs_only_0089_euclid_vis.png,sn_acs_only_0089_euclid_nisp.png
90,485,149.728753,2.282807,23.26,101544255,sn_acs_only_0090_euclid_vis.png,sn_acs_only_0090_euclid_nisp.png
91,281,149.738891,2.606380,22.86,101545695,sn_acs_only_0091_euclid_vis.png,sn_acs_only_0091_euclid_nisp.png
92,98,149.776911,1.720664,21.12,101541376,sn_acs_only_0092_euclid_vis.png,sn_acs_only_0092_euclid_nisp.png
93,147,149.765854,2.633570,22.61,101545696,sn_acs_only_0093_euclid_vis.png,sn_acs_only_0093_euclid_nisp.png
94,81,149.797184,1.834839,24.19,101541376,sn_acs_only_0094_euclid_vis.png,sn_acs_only_0094_euclid_nisp.png
95,213,149.763766,1.822232,20.58,101541376,sn_acs_only_0095_euclid_vis.png,sn_acs_only_0095_euclid_nisp.png
96,277,149.804059,2.288125,23.72,101544256,sn_acs_only_0096_euclid_vis.png,sn_acs_only_0096_euclid_nisp.png
97,411,149.778529,2.263980,22.01,101544256,sn_acs_only_0097_euclid_vis.png,sn_acs_only_0097_euclid_nisp.png
98,37,149.846651,2.649557,24.13,101547135,sn_acs_only_0098_euclid_vis.png,sn_acs_only_0098_euclid_nisp.png
99,143,149.822863,2.611570,21.13,101545696,sn_acs_only_0099_euclid_vis.png,sn_acs_only_0099_euclid_nisp.png
100,340,149.796195,2.651452,21.09,101547135,sn_acs_only_0100_euclid_vis.png,sn_acs_only_0100_euclid_nisp.png
101,53,149.836398,1.721225,22.01,101541376,sn_acs_only_0101_euclid_vis.png,sn_acs_only_0101_euclid_nisp.png
102,71,149.836558,1.739585,23.16,101541376,sn_acs_only_0102_euclid_vis.png,sn_acs_only_0102_euclid_nisp.png
103,91,149.823953,1.694923,21.87,101541376,sn_acs_only_0103_euclid_vis.png,sn_acs_only_0103_euclid_nisp.png
104,92,149.828612,1.727201,22.27,101541376,sn_acs_only_0104_euclid_vis.png,sn_acs_only_0104_euclid_nisp.png
105,115,149.823213,1.720174,22.51,101541376,sn_acs_only_0105_euclid_vis.png,sn_acs_only_0105_euclid_nisp.png
106,89,149.838917,2.340479,24.24,101544256,sn_acs_only_0106_euclid_vis.png,sn_acs_only_0106_euclid_nisp.png
107,229,149.818740,2.371116,22.29,101544256,sn_acs_only_0107_euclid_vis.png,sn_acs_only_0107_euclid_nisp.png
108,112,149.840907,2.673259,22.36,101547135,sn_acs_only_0108_euclid_vis.png,sn_acs_only_0108_euclid_nisp.png
109,237,149.836439,2.436896,24.05,101545696,sn_acs_only_0109_euclid_vis.png,sn_acs_only_0109_euclid_nisp.png
110,286,149.813896,1.819493,22.07,101541376,sn_acs_only_0110_euclid_vis.png,sn_acs_only_0110_euclid_nisp.png
111,210,149.845316,2.147477,18.75,101544256,sn_acs_only_0111_euclid_vis.png,sn_acs_only_0111_euclid_nisp.png
112,278,149.841307,2.167771,24.08,101544256,sn_acs_only_0112_euclid_vis.png,sn_acs_only_0112_euclid_nisp.png
113,57,149.863312,2.472636,19.02,101545696,sn_acs_only_0113_euclid_vis.png,sn_acs_only_0113_euclid_nisp.png
114,137,149.871597,1.950453,23.87,101542816,sn_acs_only_0114_euclid_vis.png,sn_acs_only_0114_euclid_nisp.png
115,213,149.854815,1.912343,20.56,101542816,sn_acs_only_0115_euclid_vis.png,sn_acs_only_0115_euclid_nisp.png
116,237,149.853204,1.920462,22.69,101542816,sn_acs_only_0116_euclid_vis.png,sn_acs_only_0116_euclid_nisp.png
117,109,149.869041,2.517280,23.68,101545696,sn_acs_only_0117_euclid_vis.png,sn_acs_only_0117_euclid_nisp.png
118,157,149.864604,2.528767,23.14,101545696,sn_acs_only_0118_euclid_vis.png,sn_acs_only_0118_euclid_nisp.png
119,295,149.845450,2.535173,18.97,101545696,sn_acs_only_0119_euclid_vis.png,sn_acs_only_0119_euclid_nisp.png
120,258,149.876369,1.648895,22.86,101541376,sn_acs_only_0120_euclid_vis.png,sn_acs_only_0120_euclid_nisp.png
121,85,149.879644,2.574191,21.56,101545696,sn_acs_only_0121_euclid_vis.png,sn_acs_only_0121_euclid_nisp.png
122,35,149.848571,1.732179,23.95,101541376,sn_acs_only_0122_euclid_vis.png,sn_acs_only_0122_euclid_nisp.png
123,163,149.871008,2.606871,22.85,101545696,sn_acs_only_0123_euclid_vis.png,sn_acs_only_0123_euclid_nisp.png
124,239,149.877679,2.401657,24.22,101545696,sn_acs_only_0124_euclid_vis.png,sn_acs_only_0124_euclid_nisp.png
125,110,149.895749,1.815954,18.79,101541376,sn_acs_only_0125_euclid_vis.png,sn_acs_only_0125_euclid_nisp.png
126,129,149.895169,1.825848,21.14,101541376,sn_acs_only_0126_euclid_vis.png,sn_acs_only_0126_euclid_nisp.png
127,158,149.885969,1.794781,20.39,101541376,sn_acs_only_0127_euclid_vis.png,sn_acs_only_0127_euclid_nisp.png
128,125,149.910609,2.153968,20.33,101544256,sn_acs_only_0128_euclid_vis.png,sn_acs_only_0128_euclid_nisp.png
129,178,149.892239,2.774477,19.50,101547135,sn_acs_only_0129_euclid_vis.png,sn_acs_only_0129_euclid_nisp.png
130,189,149.892247,2.766557,24.25,101547135,sn_acs_only_0130_euclid_vis.png,sn_acs_only_0130_euclid_nisp.png
131,147,149.909055,2.828647,22.01,101547135,sn_acs_only_0131_euclid_vis.png,sn_acs_only_0131_euclid_nisp.png
132,35,149.879294,2.226343,21.64,101544256,sn_acs_only_0132_euclid_vis.png,sn_acs_only_0132_euclid_nisp.png
133,143,149.925680,2.574380,19.16,101545696,sn_acs_only_0133_euclid_vis.png,sn_acs_only_0133_euclid_nisp.png
134,292,149.897913,2.000218,24.05,101542816,sn_acs_only_0134_euclid_vis.png,sn_acs_only_0134_euclid_nisp.png
135,295,149.897418,2.000810,20.74,101542816,sn_acs_only_0135_euclid_vis.png,sn_acs_only_0135_euclid_nisp.png
136,99,149.908476,1.696236,24.27,101541376,sn_acs_only_0136_euclid_vis.png,sn_acs_only_0136_euclid_nisp.png
137,148,149.920331,1.717322,23.78,101541376,sn_acs_only_0137_euclid_vis.png,sn_acs_only_0137_euclid_nisp.png
138,27,149.948852,2.619308,19.97,101545696,sn_acs_only_0138_euclid_vis.png,sn_acs_only_0138_euclid_nisp.png
139,93,149.938536,2.606994,24.00,101545696,sn_acs_only_0139_euclid_vis.png,sn_acs_only_0139_euclid_nisp.png
140,247,149.923307,2.607880,22.28,101545696,sn_acs_only_0140_euclid_vis.png,sn_acs_only_0140_euclid_nisp.png
141,148,149.934007,1.755586,21.42,101541376,sn_acs_only_0141_euclid_vis.png,sn_acs_only_0141_euclid_nisp.png
142,174,149.931819,1.773486,22.34,101541376,sn_acs_only_0142_euclid_vis.png,sn_acs_only_0142_euclid_nisp.png
143,204,149.921079,1.741840,22.26,101541376,sn_acs_only_0143_euclid_vis.png,sn_acs_only_0143_euclid_nisp.png
144,205,149.927477,1.778987,23.96,101541376,sn_acs_only_0144_euclid_vis.png,sn_acs_only_0144_euclid_nisp.png
145,209,149.918821,1.730092,21.19,101541376,sn_acs_only_0145_euclid_vis.png,sn_acs_only_0145_euclid_nisp.png
146,221,149.920078,1.746811,22.86,101541376,sn_acs_only_0146_euclid_vis.png,sn_acs_only_0146_euclid_nisp.png
147,217,149.936320,2.697426,24.00,101547135,sn_acs_only_0147_euclid_vis.png,sn_acs_only_0147_euclid_nisp.png
148,36,149.959075,1.779929,23.60,101541377,sn_acs_only_0148_euclid_vis.png,sn_acs_only_0148_euclid_nisp.png
149,71,149.952217,1.778044,20.65,101541377,sn_acs_only_0149_euclid_vis.png,sn_acs_only_0149_euclid_nisp.png
150,366,149.924267,2.149849,19.38,101544256,sn_acs_only_0150_euclid_vis.png,sn_acs_only_0150_euclid_nisp.png
151,136,149.950790,1.859981,23.10,101541377,sn_acs_only_0151_euclid_vis.png,sn_acs_only_0151_euclid_nisp.png
152,269,149.963951,2.783152,23.58,101547135,sn_acs_only_0152_euclid_vis.png,sn_acs_only_0152_euclid_nisp.png
153,302,149.967996,2.773302,24.22,101547135,sn_acs_only_0153_euclid_vis.png,sn_acs_only_0153_euclid_nisp.png
154,55,149.986962,2.540423,24.15,101545696,sn_acs_only_0154_euclid_vis.png,sn_acs_only_0154_euclid_nisp.png
155,327,149.960012,2.032405,21.61,101542816,sn_acs_only_0155_euclid_vis.png,sn_acs_only_0155_euclid_nisp.png
156,260,149.980365,2.335946,23.01,101544256,sn_acs_only_0156_euclid_vis.png,sn_acs_only_0156_euclid_nisp.png
157,281,149.972311,2.085910,24.01,101542817,sn_acs_only_0157_euclid_vis.png,sn_acs_only_0157_euclid_nisp.png
158,309,149.967729,2.082436,21.76,101542817,sn_acs_only_0158_euclid_vis.png,sn_acs_only_0158_euclid_nisp.png
159,21,150.016501,1.795426,21.25,101541377,sn_acs_only_0159_euclid_vis.png,sn_acs_only_0159_euclid_nisp.png
160,224,149.999739,2.450573,21.08,101545696,sn_acs_only_0160_euclid_vis.png,sn_acs_only_0160_euclid_nisp.png
161,16,150.033220,1.867815,19.45,101541377,sn_acs_only_0161_euclid_vis.png,sn_acs_only_0161_euclid_nisp.png
162,137,150.009408,1.852610,23.85,101541377,sn_acs_only_0162_euclid_vis.png,sn_acs_only_0162_euclid_nisp.png
163,154,150.008157,1.852961,21.65,101541377,sn_acs_only_0163_euclid_vis.png,sn_acs_only_0163_euclid_nisp.png
164,263,150.009325,2.152262,22.63,101544257,sn_acs_only_0164_euclid_vis.png,sn_acs_only_0164_euclid_nisp.png
165,121,150.017605,1.874579,20.82,101541377,sn_acs_only_0165_euclid_vis.png,sn_acs_only_0165_euclid_nisp.png
166,229,149.996893,1.884849,19.19,101541377,sn_acs_only_0166_euclid_vis.png,sn_acs_only_0166_euclid_nisp.png
167,319,149.988408,2.495288,23.56,101545696,sn_acs_only_0167_euclid_vis.png,sn_acs_only_0167_euclid_nisp.png
168,24,150.043415,1.632357,21.66,101539937,sn_acs_only_0168_euclid_vis.png,sn_acs_only_0168_euclid_nisp.png
169,205,150.023151,2.540108,22.97,101545697,sn_acs_only_0169_euclid_vis.png,sn_acs_only_0169_euclid_nisp.png
170,224,150.027808,2.273457,24.36,101544257,sn_acs_only_0170_euclid_vis.png,sn_acs_only_0170_euclid_nisp.png
171,175,150.027326,1.683743,22.15,101541377,sn_acs_only_0171_euclid_vis.png,sn_acs_only_0171_euclid_nisp.png
172,227,150.031711,2.588040,23.57,101545697,sn_acs_only_0172_euclid_vis.png,sn_acs_only_0172_euclid_nisp.png
173,322,150.018437,2.593944,24.11,101545697,sn_acs_only_0173_euclid_vis.png,sn_acs_only_0173_euclid_nisp.png
174,34,150.053367,1.994799,22.03,101542817,sn_acs_only_0174_euclid_vis.png,sn_acs_only_0174_euclid_nisp.png
175,95,150.039981,1.991648,20.74,101542817,sn_acs_only_0175_euclid_vis.png,sn_acs_only_0175_euclid_nisp.png
176,112,150.036237,2.002961,20.23,101542817,sn_acs_only_0176_euclid_vis.png,sn_acs_only_0176_euclid_nisp.png
177,159,150.023610,1.983077,20.41,101542817,sn_acs_only_0177_euclid_vis.png,sn_acs_only_0177_euclid_nisp.png
178,266,150.007539,2.033489,24.14,101542817,sn_acs_only_0178_euclid_vis.png,sn_acs_only_0178_euclid_nisp.png
179,320,150.055380,2.338730,18.94,101544257,sn_acs_only_0179_euclid_vis.png,sn_acs_only_0179_euclid_nisp.png
180,142,150.044633,2.631540,22.61,101545697,sn_acs_only_0180_euclid_vis.png,sn_acs_only_0180_euclid_nisp.png
181,134,150.046810,1.788702,20.14,101541377,sn_acs_only_0181_euclid_vis.png,sn_acs_only_0181_euclid_nisp.png
182,135,150.051934,2.354901,22.97,101544257,sn_acs_only_0182_euclid_vis.png,sn_acs_only_0182_euclid_nisp.png
183,299,150.031475,2.379143,23.30,101544257,sn_acs_only_0183_euclid_vis.png,sn_acs_only_0183_euclid_nisp.png
184,53,150.074734,2.128581,21.10,101542817,sn_acs_only_0184_euclid_vis.png,sn_acs_only_0184_euclid_nisp.png
