seq,id,ra,dec,mag,tile,hstpng
129,1499146431021285756,149.914643,2.128576,19.42,066,sn_euclid_only_0129_hst.png
130,1499364939022379174,149.936494,2.237917,19.47,066,sn_euclid_only_0130_hst.png
131,1499146530021258278,149.914653,2.125828,16.39,054,sn_euclid_only_0131_hst.png
132,1498578682022793615,149.857868,2.279362,17.70,067,sn_euclid_only_0132_hst.png
133,1499644792021496412,149.964479,2.149641,18.70,066,sn_euclid_only_0133_hst.png
134,1499105800021347414,149.910580,2.134741,18.11,066,sn_euclid_only_0134_hst.png
135,1498334036022586876,149.833404,2.258688,16.65,067,sn_euclid_only_0135_hst.png
136,1498278312023130767,149.827831,2.313077,18.58,079,sn_euclid_only_0136_hst.png
137,1498508693023541435,149.850869,2.354144,16.05,079,sn_euclid_only_0137_hst.png
138,1499661530023661286,149.966153,2.366129,16.77,078,sn_euclid_only_0138_hst.png
139,1499646623021845392,149.964662,2.184539,18.03,066,sn_euclid_only_0139_hst.png
140,1499310082023921914,149.931008,2.392191,16.22,078,sn_euclid_only_0140_hst.png
141,1498993719025118582,149.899372,2.511858,15.68,090,sn_euclid_only_0141_hst.png
142,1499608736023877750,149.960874,2.387775,17.88,078,sn_euclid_only_0142_hst.png
143,1498997864025081927,149.899786,2.508193,22.93,090,sn_euclid_only_0143_hst.png
144,1502072574018645424,150.207257,1.864542,18.18,041,sn_euclid_only_0144_hst.png
145,1499643501024292172,149.964350,2.429217,18.24,078,sn_euclid_only_0145_hst.png
146,1499204454025293924,149.920445,2.529392,15.27,090,sn_euclid_only_0146_hst.png
147,1497692996019859727,149.769300,1.985973,20.10,055,sn_euclid_only_0147_hst.png
148,1498973377019388619,149.897338,1.938862,18.35,042,sn_euclid_only_0148_hst.png
149,1504776081023506061,150.477608,2.350606,17.94,075,sn_euclid_only_0149_hst.png
150,1498802039020265522,149.880204,2.026552,20.72,055,sn_euclid_only_0150_hst.png
151,1497564792019789512,149.756479,1.978951,20.11,055,sn_euclid_only_0151_hst.png
152,1502255048018507860,150.225505,1.850786,18.16,041,sn_euclid_only_0152_hst.png
153,1502347653019901282,150.234765,1.990128,16.12,052,sn_euclid_only_0153_hst.png
154,1503230515018725413,150.323052,1.872541,18.49,040,sn_euclid_only_0154_hst.png
155,1503362099020965573,150.336210,2.096557,18.02,052,sn_euclid_only_0155_hst.png
156,1499263664019364012,149.926366,1.936401,19.28,042,sn_euclid_only_0156_hst.png
157,1498613118019876045,149.861312,1.987605,21.77,055,sn_euclid_only_0157_hst.png
158,1497350762020164006,149.735076,2.016401,18.93,055,sn_euclid_only_0158_hst.png
159,1498755550019464166,149.875555,1.946417,19.76,043,sn_euclid_only_0159_hst.png
160,1497701728019846059,149.770173,1.984606,18.91,055,sn_euclid_only_0160_hst.png
161,1502298023019937979,150.229802,1.993798,18.31,052,sn_euclid_only_0161_hst.png
162,1502751789021247568,150.275179,2.124757,16.21,052,sn_euclid_only_0162_hst.png
163,1503170018021730882,150.317002,2.173088,23.70,064,sn_euclid_only_0163_hst.png
164,1502174829019828580,150.217483,1.982858,18.50,053,sn_euclid_only_0164_hst.png
165,1503979627022617135,150.397963,2.261714,24.06,063,sn_euclid_only_0165_hst.png
166,1503239325023177972,150.323933,2.317797,17.89,076,sn_euclid_only_0166_hst.png
167,1502397200022263601,150.239720,2.226360,15.77,064,sn_euclid_only_0167_hst.png
168,1503502869022121862,150.350287,2.212186,25.09,064,sn_euclid_only_0168_hst.png
169,1503101469023517357,150.310147,2.351736,18.00,076,sn_euclid_only_0169_hst.png
170,1502894882019123863,150.289488,1.912386,18.54,040,sn_euclid_only_0170_hst.png
171,1503369486019306743,150.336949,1.930674,18.51,040,sn_euclid_only_0171_hst.png
172,1503452093020665911,150.345209,2.066591,24.46,052,sn_euclid_only_0172_hst.png
173,1503473373020189843,150.347337,2.018984,19.27,052,sn_euclid_only_0173_hst.png
174,1503843513021057047,150.384351,2.105705,17.67,052,sn_euclid_only_0174_hst.png
175,1503343687020614513,150.334369,2.061451,20.33,052,sn_euclid_only_0175_hst.png
176,1502565055021147576,150.256506,2.114758,15.61,052,sn_euclid_only_0176_hst.png
177,1503839905020192949,150.383991,2.019295,15.83,052,sn_euclid_only_0177_hst.png
178,1502227500020841198,150.222750,2.084120,18.40,053,sn_euclid_only_0178_hst.png
179,1502317015019481926,150.231702,1.948193,18.98,040,sn_euclid_only_0179_hst.png
180,1500927295018816337,150.092730,1.881634,17.49,041,sn_euclid_only_0180_hst.png
181,1499665355019509070,149.966536,1.950907,17.56,042,sn_euclid_only_0181_hst.png
182,1501070690020618160,150.107069,2.061816,18.33,053,sn_euclid_only_0182_hst.png
183,1501530584019940783,150.153058,1.994078,17.22,053,sn_euclid_only_0183_hst.png
184,1502412985021404690,150.241299,2.140469,18.59,064,sn_euclid_only_0184_hst.png
185,1500890887019847223,150.089089,1.984722,18.98,053,sn_euclid_only_0185_hst.png
186,1500481149020424366,150.048115,2.042437,17.87,054,sn_euclid_only_0186_hst.png
187,1502458422022262773,150.245842,2.226277,18.01,064,sn_euclid_only_0187_hst.png
188,1500649440020727964,150.064944,2.072796,20.28,053,sn_euclid_only_0188_hst.png
189,1503344112022152230,150.334411,2.215223,25.04,064,sn_euclid_only_0189_hst.png
190,1503344112022152230,150.334411,2.215223,25.08,064,sn_euclid_only_0190_hst.png
191,1503344112022152230,150.334411,2.215223,25.04,064,sn_euclid_only_0191_hst.png
192,1503344112022152230,150.334411,2.215223,25.08,064,sn_euclid_only_0192_hst.png
193,1503127029021272456,150.312703,2.127246,18.65,052,sn_euclid_only_0193_hst.png
194,1504306170021746824,150.430617,2.174682,17.83,063,sn_euclid_only_0194_hst.png
195,1503398392022719664,150.339839,2.271966,18.50,064,sn_euclid_only_0195_hst.png
196,1502284895022107234,150.228490,2.210723,16.06,064,sn_euclid_only_0196_hst.png
197,1504649377022483563,150.464938,2.248356,16.02,063,sn_euclid_only_0197_hst.png
198,1502855646022499160,150.285565,2.249916,17.68,064,sn_euclid_only_0198_hst.png
199,1503453755023498705,150.345376,2.349871,18.62,076,sn_euclid_only_0199_hst.png
200,1502382481022988837,150.238248,2.298884,17.70,076,sn_euclid_only_0200_hst.png
201,1502657484022371367,150.265748,2.237137,18.07,064,sn_euclid_only_0201_hst.png
202,1504260616023144080,150.426062,2.314408,19.39,075,sn_euclid_only_0202_hst.png
203,1504195690022570616,150.419569,2.257062,24.38,063,sn_euclid_only_0203_hst.png
204,1499480352020420829,149.948035,2.042083,18.93,054,sn_euclid_only_0204_hst.png
205,1501940080020003475,150.194008,2.000348,16.04,053,sn_euclid_only_0205_hst.png
206,1500367309020506083,150.036731,2.050608,19.01,054,sn_euclid_only_0206_hst.png
207,1499579141020523936,149.957914,2.052394,17.00,054,sn_euclid_only_0207_hst.png
208,1501131414020945439,150.113141,2.094544,17.85,053,sn_euclid_only_0208_hst.png
209,1500117363018985605,150.011736,1.898561,19.16,042,sn_euclid_only_0209_hst.png
210,1499695006020313577,149.969501,2.031358,18.57,054,sn_euclid_only_0210_hst.png
211,1500141842021070501,150.014184,2.107050,18.73,054,sn_euclid_only_0211_hst.png
212,1501752023019139314,150.175202,1.913931,18.47,041,sn_euclid_only_0212_hst.png
213,1500611842018825822,150.061184,1.882582,18.52,041,sn_euclid_only_0213_hst.png
214,1501108109020340675,150.110811,2.034068,17.64,053,sn_euclid_only_0214_hst.png
215,1500640090021013646,150.064009,2.101365,16.07,053,sn_euclid_only_0215_hst.png
216,1500371336020499801,150.037134,2.049980,22.10,054,sn_euclid_only_0216_hst.png
217,1499770732020413889,149.977073,2.041389,16.51,054,sn_euclid_only_0217_hst.png
218,1501431102019320711,150.143110,1.932071,18.49,041,sn_euclid_only_0218_hst.png
219,1501933477020460423,150.193348,2.046042,19.25,053,sn_euclid_only_0219_hst.png
220,1502057069024268740,150.205707,2.426874,23.99,077,sn_euclid_only_0220_hst.png
221,1500285478024364483,150.028548,2.436448,18.22,078,sn_euclid_only_0221_hst.png
222,1502575472023878745,150.257547,2.387875,18.56,076,sn_euclid_only_0222_hst.png
223,1501216115021273609,150.121612,2.127361,23.88,053,sn_euclid_only_0223_hst.png
224,1501902479023241985,150.190248,2.324199,23.28,077,sn_euclid_only_0224_hst.png
225,1500763781023553730,150.076378,2.355373,18.19,077,sn_euclid_only_0225_hst.png
226,1500856779022206322,150.085678,2.220632,19.10,065,sn_euclid_only_0226_hst.png
227,1499941097022502185,149.994110,2.250219,16.68,066,sn_euclid_only_0227_hst.png
228,1500645121023004955,150.064512,2.300496,15.69,077,sn_euclid_only_0228_hst.png
229,1501754033022046322,150.175403,2.204632,19.70,065,sn_euclid_only_0229_hst.png
230,1500330100023625499,150.033010,2.362550,17.05,078,sn_euclid_only_0230_hst.png
231,1502002850022097379,150.200285,2.209738,16.85,065,sn_euclid_only_0231_hst.png
232,1500647006024148867,150.064701,2.414887,23.32,077,sn_euclid_only_0232_hst.png
233,1500646016023887406,150.064602,2.388741,17.45,077,sn_euclid_only_0233_hst.png
234,1501327285023920267,150.132729,2.392027,17.93,077,sn_euclid_only_0234_hst.png
235,1501219439025096666,150.121944,2.509667,15.74,089,sn_euclid_only_0235_hst.png
236,1500829609024927474,150.082961,2.492747,16.88,089,sn_euclid_only_0236_hst.png
237,1500423217025017061,150.042322,2.501706,18.03,090,sn_euclid_only_0237_hst.png
238,1502695099024035702,150.269510,2.403570,22.79,076,sn_euclid_only_0238_hst.png
239,1500426691018721141,150.042669,1.872114,24.02,042,sn_euclid_only_0239_hst.png
240,1502273284024135870,150.227328,2.413587,15.76,076,sn_euclid_only_0240_hst.png
241,1501141100024895549,150.114110,2.489555,25.22,089,sn_euclid_only_0241_hst.png
242,1501696792025463349,150.169679,2.546335,15.20,089,sn_euclid_only_0242_hst.png
243,1503242363023859079,150.324236,2.385908,19.32,076,sn_euclid_only_0243_hst.png
244,1500289821024327152,150.028982,2.432715,18.21,078,sn_euclid_only_0244_hst.png
245,1502126134021271347,150.212613,2.127135,19.47,053,sn_euclid_only_0245_hst.png
246,1503152032024410927,150.315203,2.441093,18.22,076,sn_euclid_only_0246_hst.png
247,1502909645024643936,150.290965,2.464394,18.72,088,sn_euclid_only_0247_hst.png
248,1502776649024847512,150.277665,2.484751,17.71,088,sn_euclid_only_0248_hst.png
249,1500915575024355908,150.091558,2.435591,25.17,077,sn_euclid_only_0249_hst.png
250,1501939999023269864,150.194000,2.326986,15.62,077,sn_euclid_only_0250_hst.png
251,1500890282022886070,150.089028,2.288607,17.55,065,sn_euclid_only_0251_hst.png
252,1501501221022361859,150.150122,2.236186,16.94,065,sn_euclid_only_0252_hst.png
253,1502061770021205767,150.206177,2.120577,17.66,053,sn_euclid_only_0253_hst.png
254,1502125348023509526,150.212535,2.350953,17.72,077,sn_euclid_only_0254_hst.png
255,1500669280021526596,150.066928,2.152660,19.29,065,sn_euclid_only_0255_hst.png
256,1500216777023370891,150.021678,2.337089,17.30,078,sn_euclid_only_0256_hst.png
257,1500034012023703347,150.003401,2.370335,15.18,078,sn_euclid_only_0257_hst.png
258,1500729724022162812,150.072972,2.216281,20.28,065,sn_euclid_only_0258_hst.png
259,1500418341023153073,150.041834,2.315307,25.31,078,sn_euclid_only_0259_hst.png
260,1501876109025171805,150.187611,2.517181,16.61,089,sn_euclid_only_0260_hst.png
261,1501452558024760669,150.145256,2.476067,18.38,089,sn_euclid_only_0261_hst.png
262,1499822134022595500,149.982213,2.259550,17.52,066,sn_euclid_only_0262_hst.png
263,1502700326024585257,150.270033,2.458526,25.14,076,sn_euclid_only_0263_hst.png
264,1501301565023387845,150.130157,2.338785,18.86,077,sn_euclid_only_0264_hst.png
