id,primary_id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,n_bands_detected,combined_sigma,max_snr_detect,quality_flag,diff_mag_F115W,diff_mag_F150W,diff_mag_F277W,diff_mag_F444W,diff_mag_VIS,diff_mag_Y,diff_mag_J,diff_mag_H,diff_snr_F115W,diff_snr_F150W,diff_snr_F277W,diff_snr_F444W,diff_snr_VIS,diff_snr_Y,diff_snr_J,diff_snr_H,composite_confidence,mag_Y_tight,snr_Y_tight,mag_J_tight,snr_J_tight,mag_H_tight,snr_H_tight,hst_pm_neighbor_sep,hst_pm_neighbor_pid,hst_pm_neighbor_snr
cand_00168,548795,JWST,075,B5,101544258,150.4255744,2.3603421,150.4255744,2.3603421,0.000,-1,F277W,559.02,2,1.931,559.02,v04_diff_candidate,31.40,31.18,23.89,23.84,-1,20.56,20.14,19.59,1.55,4.51,559.02,364.33,-0.56,0.65,0.72,1.12,1.9309,24.60,0.05,22.97,0.15,22.72,0.17,,,
cand_00169,668963,JWST,065,B7,101544257,150.0796440,2.2641790,150.0796440,2.2641790,0.000,-1,F277W,557.32,2,1.931,557.32,v04_diff_candidate,-1,-1,23.89,24.23,30.27,23.12,21.01,22.80,-2.81,-4.18,557.32,250.18,1.87,0.60,3.21,0.46,1.9307,-1,-0.09,24.25,0.49,-1,-0.26,,,
cand_00170,729128,JWST,064,B9,101544258,150.3240145,2.2899433,150.3240145,2.2899433,0.000,-1,F277W,557.31,2,1.931,557.31,v04_diff_candidate,33.54,-1,23.88,24.13,29.06,19.61,19.25,19.09,0.47,-5.13,557.31,291.81,1.87,12.77,12.57,13.83,1.9307,-1,-0.47,26.32,0.06,-1,-0.99,,,
cand_00171,317619,JWST,041,A9,101541378,150.2105958,1.8228800,150.2105958,1.8228800,0.000,-1,F444W,552.13,2,1.930,552.13,v04_diff_candidate,-1,28.43,23.85,22.36,-1,-1,-1,-1,-2.01,17.90,267.56,552.13,0.00,0.00,0.00,0.00,1.9301,-1,0.00,-1,0.00,-1,0.00,,,
cand_00172,767892,JWST,063,B10,101544258,150.4231339,2.2438832,150.4231339,2.2438832,0.000,-1,F277W,549.89,2,1.930,549.89,v04_diff_candidate,-1,31.37,23.87,23.93,-1,-1,24.03,-1,-2.30,4.02,549.89,348.44,-0.69,-0.21,0.81,-13.37,1.9298,25.11,1.02,-1,-0.09,-1,-3.87,,,
cand_00173,642792,JWST,078,B7,101545697,150.0139460,2.3965128,150.0139460,2.3965128,0.000,-1,F277W,543.34,2,1.929,543.34,v04_diff_candidate,-1,30.93,24.08,24.30,-1,-1,-1,-1,-0.76,4.47,543.34,288.29,-0.23,-0.27,-1.54,-8.59,1.9290,-1,-0.36,-1,-0.59,-1,-1.20,,,
cand_00174,411121,JWST,102,B1,101547135,149.9925270,2.6529644,149.9925270,2.6529644,0.000,-1,F277W,542.83,2,1.929,542.83,v04_diff_candidate,-1,-1,23.86,23.93,-1,-1,23.15,-1,-1.56,-3.10,542.83,364.11,-0.57,-4.26,1.89,-2.83,1.9289,25.02,1.26,-1,-0.13,-1,-0.85,,,
cand_00175,522104,JWST,075,B4,101545698,150.4216078,2.4534412,150.4216078,2.4534412,0.000,-1,F277W,531.32,2,1.927,531.32,v04_diff_candidate,-1,-1,24.19,24.31,-1,-1,-1,-1,-1.80,-3.54,531.32,284.63,-1.33,-2.51,-2.88,-7.85,1.9274,-1,-3.23,-1,-5.66,-1,-1.60,,,
cand_00176,560016,JWST,075,B5,101545698,150.4898919,2.4286186,150.4898919,2.4286186,0.000,-1,F277W,513.39,2,1.925,513.39,v04_diff_candidate,-1,-1,24.13,24.38,33.56,24.09,23.10,23.61,-2.13,-1.67,513.39,252.97,0.06,0.78,1.72,1.13,1.9250,-1,-0.21,25.23,0.76,24.00,2.52,,,
cand_00177,691136,JWST,077,B8,101545697,150.1656820,2.3848222,150.1656820,2.3848222,0.000,-1,F277W,504.76,2,1.924,504.76,v04_diff_candidate,32.85,-1,23.99,24.05,31.20,22.51,-1,22.57,0.65,-0.50,504.76,284.71,0.76,1.94,-3.65,1.26,1.9238,24.01,2.02,-1,-2.96,24.89,0.59,,,
cand_00178,507733,JWST,076,B4,101544258,150.3911866,2.3681009,150.3911866,2.3681009,0.000,-1,F277W,502.97,2,1.924,502.97,v04_diff_candidate,31.86,31.68,23.95,24.21,-1,23.50,-1,23.09,2.21,3.78,502.97,249.42,-0.09,1.30,-3.43,2.09,1.9235,-1,-0.29,-1,-0.78,-1,-0.85,,,
cand_00179,441975,JWST,089,B2,101545697,150.1444583,2.5483753,150.1444583,2.5483753,0.000,-1,F277W,498.09,2,1.923,498.09,v04_diff_candidate,-1,33.49,24.10,24.08,32.24,-1,22.19,-1,-0.15,0.47,498.09,256.40,0.28,-0.17,3.91,-1.15,1.9228,25.77,0.56,23.51,3.92,25.52,0.76,,,
cand_00180,767667,JWST,063,B10,101544259,150.4883782,2.2181082,150.4883782,2.2181082,0.000,-1,F277W,496.25,2,1.923,496.25,v04_diff_candidate,31.30,32.44,23.96,24.02,29.25,-1,22.10,21.22,3.21,0.99,496.25,295.83,1.40,-1.15,0.41,0.90,1.9225,-1,-0.30,-1,-0.42,-1,-0.21,,,
cand_00181,734812,JWST,076,B9,101544258,150.2681174,2.3475779,150.2681174,2.3475779,0.000,-1,F277W,487.93,2,1.921,487.93,v04_diff_candidate,-1,-1,23.88,25.07,-1,-1,22.08,-1,-5.29,-2.00,487.93,125.50,-0.54,-6.11,4.61,-1.74,1.9212,-1,-3.25,24.53,1.60,-1,-2.71,,,
cand_00182,398868,JWST,091,B1,101545696,149.8919285,2.6020016,149.8919285,2.6020016,0.000,-1,F277W,483.10,2,1.920,483.10,v04_diff_candidate,-1,-1,23.79,23.82,-1,21.26,21.84,21.23,-0.18,-2.83,483.10,371.80,-1.56,1.38,0.52,0.71,1.9205,24.32,0.25,-1,-0.24,25.17,0.06,,,
cand_00183,191854,JWST,043,A6,101542816,149.7880425,1.9459200,149.7880425,1.9459200,0.000,-1,F444W,469.58,2,1.918,469.58,v04_diff_candidate,30.58,29.01,24.71,23.63,-1,-1,-1,-1,4.39,6.73,214.25,469.58,-0.00,0.00,0.00,0.00,1.9183,-1,0.00,-1,0.00,-1,0.00,,,
cand_00184,626656,JWST,078,B7,101544256,149.9468387,2.3183340,149.9468387,2.3183340,0.000,-1,F277W,459.71,2,1.917,459.71,v04_diff_candidate,30.88,30.98,24.47,24.50,30.61,22.33,21.48,21.15,5.36,4.87,459.71,244.37,1.26,0.43,0.72,0.95,1.9166,-1,-0.75,-1,-0.58,26.55,0.04,,,
cand_00185,773413,JWST,063,B10,101544259,150.5072457,2.2605932,150.5072457,2.2605932,0.000,-1,F277W,458.49,2,1.916,458.49,v04_diff_candidate,30.98,31.12,23.98,24.15,-1,20.50,-1,23.66,2.45,3.47,458.49,288.66,-0.86,8.71,-5.11,0.49,1.9164,22.39,5.46,23.57,1.40,-1,-0.21,,,
cand_00186,431034,JWST+EUCLID,089,B2,101545697,150.1276448,2.4772508,150.1276448,2.4772508,0.000,-1,F444W,35.33,3,1.916,35.33,v04_diff_candidate,29.89,31.35,28.69,26.78,30.58,21.90,22.21,21.04,16.40,3.95,8.17,35.33,1.32,5.53,3.51,10.83,1.9155,23.56,4.31,25.45,0.59,23.83,2.70,,,
cand_00187,560763,JWST,075,B5,101545699,150.5267200,2.4213952,150.5267200,2.4213952,0.000,-1,F277W,452.26,2,1.915,452.26,v04_diff_candidate,-1,-1,23.96,24.03,30.20,-1,-1,-1,-3.80,-3.41,452.26,290.25,0.81,-0.30,-5.94,-0.87,1.9153,-1,-3.83,-1,-1.95,-1,-1.61,,,
cand_00188,391521,JWST,090,B1,101545696,149.9104223,2.5415176,149.9104223,2.5415176,0.000,-1,F277W,443.75,2,1.914,443.75,v04_diff_candidate,32.50,31.93,24.30,24.56,-1,23.69,-1,-1,1.90,2.79,443.75,220.20,-0.81,0.41,-0.23,-0.14,1.9137,24.84,0.55,28.02,0.02,-1,-1.48,,,
cand_00189,560762,JWST,075,B5,101545698,150.4584017,2.4462558,150.4584017,2.4462558,0.000,-1,F277W,442.07,2,1.913,442.07,v04_diff_candidate,33.52,32.62,24.09,24.08,30.58,-1,-1,-1,0.55,1.34,442.07,292.20,1.31,-3.00,-2.59,-1.83,1.9134,-1,-2.24,-1,-1.04,-1,-1.17,,,
cand_00190,727434,JWST,064,B9,101544258,150.3517139,2.2678199,150.3517139,2.2678199,0.000,-1,F277W,440.53,2,1.913,440.53,v04_diff_candidate,-1,-1,24.02,24.04,28.88,19.78,18.97,18.81,-0.91,-2.11,440.53,290.51,2.02,4.98,8.82,12.80,1.9131,24.88,0.15,-1,-0.13,25.19,0.11,,,
cand_00191,355695,JWST,028,A10,101541378,150.3306099,1.7796392,150.3306099,1.7796392,0.000,-1,F277W,438.12,2,1.913,438.12,v04_diff_candidate,-1,29.89,24.15,24.81,-1,-1,-1,-1,-5.03,7.17,438.12,146.72,0.00,0.00,0.00,0.00,1.9127,-1,0.00,-1,0.00,-1,0.00,,,
cand_00192,515726,JWST,076,B4,101545698,150.3712094,2.4284530,150.3712094,2.4284530,0.000,-1,F277W,424.06,2,1.910,424.06,v04_diff_candidate,31.45,30.45,23.65,23.77,30.38,-1,-1,-1,2.66,8.00,424.06,366.21,1.58,-4.63,-5.75,-7.01,1.9099,26.18,0.40,-1,-2.39,-1,-5.20,,,
cand_00193,385461,JWST,091,B1,101545696,149.8662378,2.5164075,149.8662378,2.5164075,0.000,-1,F277W,423.66,2,1.910,423.66,v04_diff_candidate,-1,34.25,24.07,24.06,28.25,19.58,19.53,19.57,-1.29,0.25,423.66,315.62,3.50,28.30,30.22,25.19,1.9098,-1,-1.80,-1,-0.28,24.74,0.95,,,
cand_00194,668962,JWST,065,B8,101544257,150.1479245,2.2393478,150.1479245,2.2393478,0.000,-1,F277W,419.36,2,1.909,419.36,v04_diff_candidate,-1,-1,24.02,24.21,-1,23.24,-1,22.18,-0.23,-5.55,419.36,226.65,-0.02,0.49,-1.18,0.37,1.9090,-1,-0.68,-1,-1.81,24.07,0.81,,,
cand_00195,764196,JWST,063,B10,101544258,150.4139766,2.2146317,150.4139766,2.2146317,0.000,-1,F277W,418.83,2,1.909,418.83,v04_diff_candidate,-1,31.05,24.06,24.10,30.74,-1,22.42,-1,-0.70,3.03,418.83,279.21,1.10,-3.76,2.89,-0.54,1.9088,-1,-3.30,-1,-1.29,25.69,0.57,,,
cand_00196,258269,JWST,054,A2,101542816,149.8967838,2.0844713,149.8967838,2.0844713,0.000,-1,F277W,409.24,2,1.907,409.24,v04_diff_candidate,-1,-1,24.21,26.13,-1,-1,22.13,-1,-2.01,-0.67,409.24,45.87,-1.56,-1.12,4.06,-0.83,1.9068,-1,-0.62,-1,-1.33,-1,-1.41,,,
cand_00197,648758,JWST,077,B7,101545697,150.0973112,2.4096901,150.0973112,2.4096901,0.000,-1,F277W,409.18,2,1.907,409.18,v04_diff_candidate,33.01,-1,24.13,24.32,31.15,24.60,22.83,-1,0.90,-1.75,409.18,214.77,0.82,0.52,2.15,-0.63,1.9068,-1,-3.87,24.69,1.44,27.31,0.14,,,
cand_00198,507725,JWST,076,B4,101545698,150.3228733,2.3929475,150.3228733,2.3929475,0.000,-1,F277W,401.85,2,1.905,401.85,v04_diff_candidate,-1,-1,24.28,24.60,31.19,22.46,24.55,-1,-5.89,-4.32,401.85,209.09,0.86,1.93,0.19,-1.06,1.9052,-1,-0.40,-1,-1.08,-1,-0.98,,,
cand_00199,642789,JWST,078,B7,101545696,149.9798198,2.4089192,149.9798198,2.4089192,0.000,-1,F277W,398.25,2,1.904,398.25,v04_diff_candidate,-1,-1,24.45,24.45,-1,-1,-1,24.43,-3.82,-6.13,398.25,232.51,-0.10,-4.56,-0.85,0.41,1.9044,-1,-2.14,24.55,1.31,-1,-3.46,,,
cand_00200,729123,JWST,076,B9,101544258,150.2557058,2.3147857,150.2557058,2.3147857,0.000,-1,F277W,383.29,2,1.901,383.29,v04_diff_candidate,-1,-1,24.25,24.39,-1,23.32,21.84,22.82,-2.62,-6.94,383.29,193.82,-0.88,0.63,1.86,0.80,1.9008,-1,-1.83,25.58,0.29,26.81,0.09,,,
cand_00201,317994,JWST,041,A9,101541377,150.1255594,1.8571328,150.1255594,1.8571328,0.000,-1,F277W,371.54,2,1.898,371.54,v04_diff_candidate,-1,34.70,24.51,24.96,-1,-1,-1,-1,-4.14,0.21,371.54,153.81,-0.63,0.00,0.00,0.00,1.8978,-1,0.00,-1,0.00,-1,0.00,,,
cand_00202,730506,JWST,076,B9,101544258,150.3262426,2.2989088,150.3262426,2.2989088,0.000,-1,F277W,369.81,2,1.897,369.81,v04_diff_candidate,31.24,32.22,24.22,25.70,-1,24.00,-1,24.70,5.83,1.72,369.81,73.42,-0.83,0.75,-6.97,0.41,1.8974,-1,-0.87,-1,-2.52,24.44,1.94,,,
cand_00203,429350,JWST,089,B2,101545697,150.1179165,2.4674847,150.1179165,2.4674847,0.000,-1,F277W,367.23,2,1.897,367.23,v04_diff_candidate,-1,-1,24.39,24.45,28.51,20.06,19.54,19.16,-1.48,-7.53,367.23,215.88,6.20,19.26,20.66,21.21,1.8967,-1,-1.30,-1,-2.15,24.63,0.40,,,
cand_00204,768970,JWST,063,B10,101544258,150.4606823,2.2402315,150.4606823,2.2402315,0.000,-1,F277W,367.11,2,1.897,367.11,v04_diff_candidate,30.99,31.06,24.38,24.44,30.43,-1,-1,-1,3.48,7.19,367.11,193.43,0.87,-3.70,-0.58,-0.09,1.8967,-1,-1.51,24.19,1.32,-1,-1.88,,,
cand_00205,391742,JWST,090,B1,101545696,149.9470931,2.5295975,149.9470931,2.5295975,0.000,-1,F277W,366.43,2,1.896,366.43,v04_diff_candidate,-1,-1,24.29,24.55,-1,-1,24.02,22.67,-1.31,-3.29,366.43,196.39,-1.27,-4.83,0.77,3.07,1.8965,-1,-5.33,24.60,1.63,25.13,1.15,,,
cand_00206,405688,JWST,090,B1,101545697,150.0142826,2.6077469,150.0142826,2.6077469,0.000,-1,F277W,366.24,2,1.896,366.24,v04_diff_candidate,32.96,-1,24.29,24.40,-1,-1,-1,-1,0.63,-2.97,366.24,177.64,-0.69,-0.25,-0.03,-1.26,1.8964,-1,-0.36,-1,-1.33,-1,-2.25,,,
cand_00207,692020,JWST,077,B8,101545697,150.1696278,2.3902622,150.1696278,2.3902622,0.000,-1,F277W,362.61,2,1.895,362.61,v04_diff_candidate,-1,31.04,24.20,25.47,-1,27.94,23.00,22.98,-2.11,4.43,362.61,80.83,-0.49,0.02,1.86,1.84,1.8955,-1,-2.39,-1,-2.63,-1,-1.11,,,
cand_00208,505654,JWST+EUCLID,075,B4,101544258,150.3996101,2.3504724,150.3996101,2.3504724,0.000,-1,F444W,34.32,3,1.895,34.32,v04_diff_candidate,30.00,29.82,28.29,26.91,29.97,24.33,21.34,21.65,8.94,13.27,15.39,34.32,2.39,0.54,8.40,5.49,1.8955,24.49,1.64,24.24,1.81,24.21,1.68,,,
cand_00209,313311,JWST,041,A9,101541377,150.1340730,1.8174634,150.1340730,1.8174634,0.000,-1,F444W,351.96,2,1.892,351.96,v04_diff_candidate,30.75,28.33,23.81,22.48,-1,-1,-1,-1,2.95,11.55,133.21,351.96,0.00,0.00,0.00,0.00,1.8925,-1,0.00,-1,0.00,-1,0.00,,,
cand_00210,245353,JWST,055,A7,101542816,149.8708431,2.0029915,149.8708431,2.0029915,0.000,-1,F277W,351.32,2,1.892,351.32,v04_diff_candidate,-1,-1,24.37,25.04,30.22,20.95,20.90,20.27,-8.85,-7.29,351.32,115.11,1.31,1.64,0.92,2.08,1.8923,-1,-0.16,25.17,0.06,-1,-0.38,,,
cand_00211,530836,JWST,088,B4,101545698,150.3736233,2.5280719,150.3736233,2.5280719,0.000,-1,F277W,349.73,2,1.892,349.73,v04_diff_candidate,34.14,29.46,24.40,24.48,-1,-1,23.19,23.93,0.12,10.98,349.73,211.79,-2.42,-1.76,1.33,0.82,1.8918,-1,-2.98,-1,-0.63,-1,-3.01,,,
cand_00212,507030,JWST,076,B4,101544258,150.3889411,2.3643943,150.3889411,2.3643943,0.000,-1,F277W,348.41,2,1.891,348.41,v04_diff_candidate,31.53,31.37,24.44,24.71,33.57,-1,-1,22.88,1.12,2.93,348.41,198.21,0.09,-1.69,-0.40,1.57,1.8914,24.40,1.79,-1,-1.68,24.37,1.40,,,
cand_00213,312600,JWST,041,A9,101541377,150.1269594,1.8148330,150.1269594,1.8148330,0.000,-1,F444W,342.74,2,1.890,342.74,v04_diff_candidate,27.70,28.34,28.07,24.49,-1,-1,-1,-1,48.25,44.91,19.65,342.74,0.00,0.00,0.00,0.00,1.8897,-1,0.00,-1,0.00,-1,0.00,,,
cand_00214,490805,JWST,089,B3,101545697,150.2028567,2.5901548,150.2028567,2.5901548,0.000,-1,F277W,342.27,2,1.890,342.27,v04_diff_candidate,-1,-1,24.41,24.87,-1,22.79,-1,21.45,-2.18,-2.67,342.27,142.38,-1.05,1.44,-0.83,3.23,1.8896,-1,-0.66,-1,-3.33,23.72,2.70,,,
cand_00215,122279,JWST,053,A4,101542817,150.1591912,2.0275023,150.1591912,2.0275023,0.000,-1,F277W,342.10,2,1.890,342.10,v04_diff_candidate,-1,-1,24.68,25.48,-1,22.35,23.18,22.94,-4.48,-2.48,342.10,97.77,-0.89,2.40,0.78,0.94,1.8895,-1,-1.11,-1,-3.75,-1,-1.45,,,
cand_00216,567302,JWST,087,B5,101545698,150.4761430,2.4907870,150.4761430,2.4907870,0.000,-1,F277W,341.10,2,1.889,341.10,v04_diff_candidate,-1,-1,24.28,24.41,-1,22.52,-1,24.06,-5.45,-4.55,341.10,172.73,-0.08,3.27,-4.04,0.84,1.8892,23.95,3.08,-1,-1.38,24.55,2.00,,,
cand_00217,769305,JWST,063,B10,101544258,150.4599897,2.2436688,150.4599897,2.2436688,0.000,-1,F277W,338.54,2,1.888,338.54,v04_diff_candidate,32.90,-1,24.54,24.47,32.30,23.07,24.37,-1,0.28,-0.60,338.54,207.42,0.19,1.71,0.45,-0.49,1.8884,-1,-3.31,26.34,0.24,24.58,1.12,,,
cand_00218,548509,JWST+EUCLID,075,B5,101544259,150.5087631,2.3276086,150.5087631,2.3276086,0.000,-1,F277W,33.97,3,1.888,33.97,v04_diff_candidate,-1,-1,27.27,30.33,30.66,21.16,20.93,21.03,-1.11,-0.63,33.97,1.19,0.41,5.61,5.68,5.82,1.8882,-1,-1.01,-1,-0.45,-1,-0.03,,,
cand_00219,691323,JWST,077,B8,101545697,150.1658993,2.3861782,150.1658993,2.3861782,0.000,-1,F277W,335.05,2,1.887,335.05,v04_diff_candidate,-1,-1,24.46,25.75,-1,22.33,24.93,-1,-0.35,-6.09,335.05,69.95,-1.73,3.63,0.29,-4.13,1.8873,-1,-0.96,-1,-0.82,-1,-3.49,,,
cand_00220,100686,JWST,065,A3,101544257,150.0878815,2.1786035,150.0878815,2.1786035,0.000,-1,F277W,331.61,2,1.886,331.61,v04_diff_candidate,-1,32.37,24.63,24.92,29.88,21.49,-1,21.44,-0.78,0.99,331.61,134.85,1.34,1.38,-0.17,0.97,1.8862,24.42,0.55,25.71,0.11,-1,-0.59,,,
cand_00221,412896,JWST,102,B1,101547135,149.9636800,2.6771315,149.9636800,2.6771315,0.000,-1,F277W,331.04,2,1.886,331.04,v04_diff_candidate,33.97,30.87,24.39,24.58,33.13,-1,22.33,21.58,0.18,2.24,331.04,180.51,0.11,-0.10,2.69,4.67,1.8861,-1,-0.72,25.24,0.74,25.98,0.42,,,
cand_00222,291406,JWST,054,A8,101542817,150.0219422,1.9974137,150.0219422,1.9974137,0.000,-1,F277W,326.79,2,1.885,326.79,v04_diff_candidate,32.66,31.40,24.65,25.01,-1,23.11,22.61,-1,0.57,3.96,326.79,134.23,-2.20,1.41,1.91,-4.56,1.8847,24.22,1.62,-1,-0.95,-1,-4.04,,,
cand_00223,620523,JWST,066,B7,101544256,149.9637765,2.2707850,149.9637765,2.2707850,0.000,-1,F277W,319.11,2,1.882,319.11,v04_diff_candidate,31.05,-1,24.69,24.75,29.97,20.80,21.05,21.00,2.03,-4.24,319.11,182.19,2.38,5.24,3.35,4.43,1.8820,-1,-0.36,-1,-1.82,-1,-1.48,,,
cand_00224,423749,JWST,077,B2,101545697,150.1165657,2.4248938,150.1165657,2.4248938,0.000,-1,F444W,317.49,2,1.881,317.49,v04_diff_candidate,30.31,-1,25.25,24.18,31.43,25.58,23.10,19.96,4.18,-4.80,205.83,317.49,0.57,0.20,1.73,34.41,1.8815,26.08,0.42,25.35,0.74,22.09,16.36,,,
cand_00225,245356,JWST,054,A7,101542816,149.9049949,1.9905830,149.9049949,1.9905830,0.000,-1,F277W,314.35,2,1.880,314.35,v04_diff_candidate,31.42,31.91,24.46,24.79,-1,23.43,-1,-1,1.70,1.86,314.35,167.09,-0.55,0.82,-1.38,-2.36,1.8804,25.07,0.65,-1,-0.64,-1,-4.72,,,
cand_00226,97809,JWST+EUCLID,065,A3,101544257,150.1744453,2.1276053,150.1744453,2.1276053,0.000,-1,F277W,33.58,3,1.880,33.58,v04_diff_candidate,-1,-1,27.12,-1,31.08,22.13,21.35,21.82,-4.68,-3.74,33.58,-0.60,0.84,4.54,8.21,5.36,1.8802,25.92,0.46,24.25,1.86,25.37,0.64,,,
cand_00227,669940,JWST,065,B8,101544257,150.0838716,2.2701590,150.0838716,2.2701590,0.000,-1,F277W,312.16,2,1.880,312.16,v04_diff_candidate,-1,-1,24.68,24.81,31.63,-1,22.78,23.63,-6.46,-3.42,312.16,162.28,0.58,-3.24,2.09,1.10,1.8796,-1,-0.75,24.32,1.80,-1,-1.78,,,
cand_00228,88189,JWST+EUCLID,054,A2,101542817,150.0213893,2.1176121,150.0213893,2.1176121,0.000,-1,F277W,33.54,3,1.879,33.54,v04_diff_candidate,31.18,29.68,27.79,27.63,30.29,-1,22.46,21.23,3.00,23.37,33.54,23.55,2.03,-0.11,2.05,7.44,1.8793,-1,-1.14,24.41,1.08,23.03,4.69,,,
cand_00229,368315,JWST,040,A10,101542818,150.3292996,1.8855908,150.3292996,1.8855908,0.000,-1,F277W,305.04,2,1.877,305.04,v04_diff_candidate,-1,-1,24.72,24.66,32.26,23.06,-1,21.55,-2.38,-3.86,305.04,181.68,0.16,0.20,-0.07,0.74,1.8769,-1,-0.26,24.67,0.11,24.60,0.12,,,
cand_00230,85729,JWST,053,A3,101542817,150.1232319,2.0631536,150.1232319,2.0631536,0.000,-1,F277W,297.63,2,1.874,297.63,v04_diff_candidate,-1,-1,24.60,25.03,-1,22.21,-1,22.17,-7.10,-2.91,297.63,146.54,-0.72,3.69,-2.96,3.31,1.8741,25.14,0.93,-1,-1.84,-1,-1.11,,,
cand_00231,768256,JWST,064,B10,101544258,150.3896835,2.2593800,150.3896835,2.2593800,0.000,-1,F277W,297.29,2,1.874,297.29,v04_diff_candidate,30.56,30.52,24.01,24.83,30.29,23.51,-1,-1,6.58,4.29,297.29,145.60,1.50,1.02,-1.26,-1.92,1.8739,24.95,0.87,-1,-1.98,-1,-0.09,,,
cand_00232,330996,JWST,053,A9,101542817,150.1243401,1.9601686,150.1243401,1.9601686,0.000,-1,F277W,292.20,2,1.872,292.20,v04_diff_candidate,33.42,-1,24.64,24.78,-1,-1,-1,23.41,0.32,-4.55,292.20,147.55,-1.85,-7.17,-0.23,0.91,1.8719,-1,-4.59,23.38,3.23,-1,-1.47,,,
cand_00233,310407,JWST,041,A9,101541377,150.0757811,1.8129444,150.0757811,1.8129444,0.000,-1,F277W,291.87,2,1.872,291.87,v04_diff_candidate,32.14,33.00,24.65,26.73,-1,-1,-1,-1,0.87,0.62,291.87,37.11,0.00,0.00,0.00,0.00,1.8717,-1,0.00,-1,0.00,-1,0.00,,,
cand_00234,118523,JWST,053,A4,101542818,150.2112079,1.9817764,150.2112079,1.9817764,0.000,-1,F277W,291.63,2,1.872,291.63,v04_diff_candidate,30.85,31.93,24.55,24.70,-1,-1,22.07,-1,2.62,1.56,291.63,170.70,-0.69,-2.03,4.57,-2.97,1.8716,-1,-1.85,-1,-1.48,-1,-5.56,,,
cand_00235,140894,JWST,065,A4,101542818,150.2245418,2.1288909,150.2245418,2.1288909,0.000,-1,F277W,291.31,2,1.872,291.31,v04_diff_candidate,31.73,30.83,24.71,24.98,-1,21.72,20.87,20.50,1.55,3.11,291.31,146.09,-0.33,1.40,1.96,2.76,1.8715,-1,-0.57,23.94,0.35,-1,-0.08,,,
cand_00236,715823,JWST,064,B9,101544258,150.3289398,2.1978327,150.3289398,2.1978327,0.000,-1,F277W,291.13,2,1.871,291.13,v04_diff_candidate,-1,31.73,24.38,24.48,-1,22.27,-1,22.60,-4.84,1.39,291.13,195.37,-1.58,4.74,-0.64,3.20,1.8714,23.84,3.46,-1,-4.20,-1,-3.53,,,
cand_00237,407017,JWST,090,B1,101545697,150.0094004,2.6197277,150.0094004,2.6197277,0.000,-1,F277W,290.32,2,1.871,290.32,v04_diff_candidate,-1,-1,24.89,24.88,-1,23.50,21.90,-1,-2.02,-2.33,290.32,200.91,-0.18,1.45,4.85,-3.48,1.8711,-1,-0.42,27.70,0.08,29.38,0.02,,,
cand_00238,189768,JWST,043,A6,101542816,149.7695993,1.9372327,149.7695993,1.9372327,0.000,-1,F277W,287.75,2,1.870,287.75,v04_diff_candidate,-1,30.95,24.45,24.92,-1,-1,-1,-1,-2.38,5.51,287.75,127.01,0.00,0.00,0.00,0.00,1.8700,-1,0.00,-1,0.00,-1,0.00,,,
cand_00239,372453,JWST,040,A10,101542818,150.3063907,1.9283735,150.3063907,1.9283735,0.000,-1,F277W,286.75,2,1.870,286.75,v04_diff_candidate,-1,-1,24.94,25.34,31.79,21.88,20.45,20.08,-2.10,-0.68,286.75,93.75,0.21,0.26,0.76,1.15,1.8696,-1,-0.26,25.36,0.02,23.92,0.08,,,
cand_00240,157660,JWST,040,A5,101542818,150.2795465,1.9569185,150.2795465,1.9569185,0.000,-1,F277W,282.31,2,1.868,282.31,v04_diff_candidate,-1,32.29,24.62,25.03,30.51,21.85,21.90,24.02,-3.82,0.91,282.31,126.66,1.26,1.65,0.68,0.06,1.8677,-1,-0.54,-1,-0.31,-1,-0.09,,,
cand_00241,196587,JWST,055,A6,101542816,149.7499183,1.9937587,149.7499183,1.9937587,0.000,-1,F277W,281.77,2,1.867,281.77,v04_diff_candidate,33.07,-1,24.75,24.72,-1,20.93,-1,-1,0.53,-0.39,281.77,151.56,-0.74,3.99,-2.51,-1.72,1.8674,24.84,0.41,24.32,0.65,-1,-2.73,,,
cand_00242,507726,JWST,076,B4,101545698,150.3570351,2.3805243,150.3570351,2.3805243,0.000,-1,F277W,281.28,2,1.867,281.28,v04_diff_candidate,31.60,-1,24.35,24.57,29.55,22.45,21.78,-1,2.38,-1.90,281.28,211.70,3.51,2.36,4.39,-0.59,1.8672,24.80,1.14,24.12,2.03,-1,-2.23,,,
cand_00243,442988,JWST,089,B2,101545697,150.1487191,2.5543380,150.1487191,2.5543380,0.000,-1,F277W,279.80,2,1.867,279.80,v04_diff_candidate,30.41,-1,24.55,24.83,29.74,21.11,20.12,19.54,6.25,-0.76,279.80,123.86,2.46,0.58,0.69,0.80,1.8666,-1,-0.04,24.11,0.05,23.35,0.07,,,
cand_00244,548835,JWST,075,B5,101544259,150.5288951,2.3233508,150.5288951,2.3233508,0.000,-1,F277W,274.27,2,1.864,274.27,v04_diff_candidate,32.26,31.33,24.64,25.27,28.87,21.36,21.75,20.80,0.87,2.33,274.27,95.87,0.81,1.72,0.81,1.53,1.8641,24.19,0.53,-1,-0.43,26.77,0.02,,,
