id,primary_id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,combined_sigma,max_snr_detect,n_3sig_detect,quality_flag,mag_F814W,mag_VIS,mag_Y,mag_J,mag_H,mag_F115W,mag_F150W,mag_F277W,mag_F444W,snr_F814W,snr_VIS,snr_Y,snr_J,snr_H,snr_F115W,snr_F150W,snr_F277W,snr_F444W,cnn_conf_hst,cnn_conf_jwst,cnn_conf_vis,cnn_conf_nisp,composite_confidence
cand_00011,EuclidID_1501295645014557696,EUCLID-NISP,,,101539937,150.1295646,1.4557589,150.1295646,1.4557589,0.000,-1,Y,0.37,1.000,0.37,1,cnn_candidate,-1,25.56,19.02,18.54,18.71,-1,-1,-1,-1,0.00,54.13,0.37,0.24,0.14,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00012,EuclidID_1500610540026547968,HST,101,,101547136,150.0610540,2.6548075,150.0610540,2.6548075,0.000,-1,F814W,0.20,1.000,0.20,1,cnn_candidate,23.47,17.91,10.36,9.99,10.11,-1,-1,-1,-1,0.20,246.57,3443.97,2826.71,2925.38,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00013,EuclidID_1509981671025792000,EUCLID-VIS,,,101545701,150.9981671,2.5791912,150.9981671,2.5791912,0.000,-1,VIS,277.98,1.000,277.98,1,cnn_candidate,-1,17.92,10.57,10.30,10.50,-1,-1,-1,-1,0.00,277.98,2505.80,2148.77,2437.71,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00014,774674,HST,075,B5,101544258,150.4316488,2.3005880,150.4316488,2.3005880,0.000,-1,F814W,0.63,1.000,0.63,1,cnn_candidate,27.44,26.99,22.11,19.45,21.46,28.16,27.94,27.01,26.95,0.63,26.51,1.43,12.45,2.39,10.67,15.31,52.09,40.68,1.0000,0.0000,0.0000,0.0000,1.0000
cand_00015,EuclidID_1496831485030962432,EUCLID-VIS,,,101548573,149.6831485,3.0962427,149.6831485,3.0962427,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,-1,9.02,8.92,8.95,-1,-1,-1,-1,0.00,-2.28,735.45,627.34,971.24,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00016,EuclidID_1510324914026860544,EUCLID-VIS,,,101547140,151.0324915,2.6860646,151.0324915,2.6860646,0.000,-1,VIS,1766.81,1.000,1766.81,1,cnn_candidate,-1,19.55,-1,-1,-1,-1,-1,-1,-1,0.00,1766.81,-3.77,-5.54,-1.69,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00017,EuclidID_1494479496024816896,EUCLID-VIS,093,,101545694,149.4479496,2.4816772,149.4479496,2.4816772,0.000,-1,VIS,47.43,1.000,47.43,1,cnn_candidate,18.21,16.69,8.81,12.26,8.85,-1,-1,-1,-1,10.36,47.43,453.53,15.39,622.41,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00018,EuclidID_1500355601026060800,HST,090,B1,101545697,150.0355602,2.6060917,150.0355602,2.6060917,0.000,-1,F814W,0.27,1.000,0.27,1,cnn_candidate,22.68,16.52,11.38,9.86,9.71,21.30,20.33,23.76,20.42,0.27,258.32,741.93,1847.65,2419.77,2.57,4.40,0.71,26.55,1.0000,0.0000,0.0000,0.0000,1.0000
cand_00019,EuclidID_1497929661021256192,JWST,055,A1,101542816,149.7929661,2.1256133,149.7929661,2.1256133,0.000,-1,F115W,56.02,1.000,56.02,1,cnn_candidate,21.00,19.89,12.87,12.26,11.90,20.62,20.07,-1,-1,71.10,80.80,406.66,436.90,553.92,56.02,41.09,-8.61,-8.87,0.0000,1.0000,0.0000,0.0000,1.0000
cand_00020,EuclidID_1494479726024817920,HST,093,,101545694,149.4479727,2.4817964,149.4479727,2.4817964,0.000,-1,F814W,8.17,1.000,8.17,1,cnn_candidate,18.27,-1,8.76,9.95,8.72,-1,-1,-1,-1,8.17,-0.56,750.14,221.31,977.03,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00021,EuclidID_1494780320017483776,EUCLID-VIS,033,,101541375,149.4780320,1.7483897,149.4780320,1.7483897,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,18.44,-1,9.03,10.02,8.87,-1,-1,-1,-1,8.43,-2.26,207.25,70.57,400.02,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00022,EuclidID_1496404063017701632,EUCLID-VIS,032,,101541375,149.6404064,1.7701613,149.6404064,1.7701613,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,18.98,-1,-1,9.40,-1,-1,-1,-1,-1,9.18,-0.33,-8.65,299.54,-14.64,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00023,EuclidID_1497323420017570048,HST,031,,101541376,149.7323421,1.7570133,149.7323421,1.7570133,0.000,-1,F814W,1.35,1.000,1.35,1,cnn_candidate,24.69,16.93,10.37,10.04,10.14,-1,-1,-1,-1,1.35,449.07,3184.68,2626.97,2685.83,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00024,EuclidID_1497789561030234112,EUCLID-VIS,,,101548573,149.7789561,3.0234219,149.7789561,3.0234219,0.000,-1,VIS,31.42,1.000,31.42,1,cnn_candidate,-1,17.43,9.02,8.92,8.88,-1,-1,-1,-1,0.00,31.42,1350.09,988.16,1472.81,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00025,HSTID_15,EUCLID-VIS,033,,101541375,149.5291300,1.7325990,149.5291300,1.7325990,0.000,-1,VIS,0.57,1.000,0.57,1,cnn_candidate,17.93,20.26,10.61,10.69,10.44,-1,-1,-1,-1,15.77,0.57,7.01,5.77,7.41,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00026,EuclidID_1499012772016429824,EUCLID-NISP,030,,101541376,149.9013050,1.6430950,149.9013050,1.6430950,0.000,-1,Y,0.73,1.000,0.73,1,cnn_candidate,22.34,27.17,17.23,17.09,17.26,-1,-1,-1,-1,1005.32,0.06,0.73,0.32,0.17,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00027,EuclidID_1499724479031483136,EUCLID-NISP,,,101550013,149.9724480,3.1483025,149.9724480,3.1483025,0.000,-1,Y,4221.25,1.000,4221.25,1,cnn_candidate,-1,32.95,12.95,-1,14.35,-1,-1,-1,-1,0.00,0.03,4221.25,-1.41,960.35,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00028,EuclidID_1501213549014092032,EUCLID-NISP,,,101539937,150.1213549,1.4092134,150.1213549,1.4092134,0.000,-1,H,0.06,1.000,0.06,1,cnn_candidate,-1,26.76,19.60,18.78,18.26,-1,-1,-1,-1,0.00,11.37,0.03,0.04,0.06,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00029,EuclidID_1501466584023613184,EUCLID-VIS,077,B8,101544257,150.1466584,2.3613063,150.1466584,2.3613063,0.000,-1,VIS,0.76,1.000,0.76,1,cnn_candidate,21.36,19.53,12.52,12.71,12.37,24.25,23.11,23.41,-1,1.92,0.76,13.18,10.98,17.65,0.53,3.42,0.75,-0.05,0.0000,0.0000,1.0000,0.0000,1.0000
cand_00030,EuclidID_1504713274012794624,EUCLID-NISP,,,101538499,150.4713275,1.2794686,150.4713275,1.2794686,0.000,-1,Y,0.90,1.000,0.90,1,cnn_candidate,-1,24.13,16.52,16.05,16.21,-1,-1,-1,-1,0.00,54.52,0.90,0.85,0.53,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00031,EuclidID_1509537072026988032,EUCLID-NISP,,,101547139,150.9537073,2.6988138,150.9537073,2.6988138,0.000,-1,H,1.58,1.000,1.58,1,cnn_candidate,-1,23.07,16.25,15.73,15.58,-1,-1,-1,-1,0.00,60.12,1.52,1.42,1.58,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00032,EuclidID_1507300238018442240,EUCLID-VIS,037,,101541380,150.7300710,1.8443100,150.7300710,1.8443100,0.000,-1,VIS,1.13,1.000,1.13,1,cnn_candidate,20.85,23.59,14.33,13.89,13.95,-1,-1,-1,-1,1336.70,1.13,1092.15,1118.09,1090.44,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00033,EuclidID_1499912134015585024,EUCLID-VIS,018,,101539937,149.9912135,1.5584932,149.9912135,1.5584932,0.000,-1,VIS,1.95,1.000,1.95,1,cnn_candidate,-1,20.74,8.84,8.69,8.67,-1,-1,-1,-1,0.00,1.95,385.74,235.11,327.87,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00034,EuclidID_1493920481018877696,EUCLID-VIS,045,,101542814,149.3920481,1.8877647,149.3920481,1.8877647,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,-1,9.34,9.16,9.13,-1,-1,-1,-1,0.00,-3.50,1463.91,1170.71,1667.78,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00035,EuclidID_1508078152026134272,EUCLID-NISP,085,,101545700,150.8078152,2.6134399,150.8078152,2.6134399,0.000,-1,Y,0.21,1.000,0.21,1,cnn_candidate,-1,25.75,19.87,19.14,19.03,-1,-1,-1,-1,0.00,60.38,0.21,0.18,0.12,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00036,EuclidID_1506608206013458688,EUCLID-NISP,,,101538500,150.6608206,1.3458677,150.6608206,1.3458677,0.000,-1,J,222.68,1.000,222.68,1,cnn_candidate,-1,-1,16.28,15.65,15.39,-1,-1,-1,-1,0.00,0.00,145.74,222.68,80.46,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00037,EuclidID_1507047372015117056,EUCLID-NISP,014,,101539940,150.7047373,1.5117033,150.7047373,1.5117033,0.000,-1,J,92.77,1.000,92.77,1,cnn_candidate,-1,-1,16.86,16.53,16.36,-1,-1,-1,-1,0.00,0.00,72.39,92.77,3.08,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00038,EuclidID_1499382113028628736,EUCLID-NISP,114,,101547135,149.9382113,2.8628688,149.9382113,2.8628688,0.000,-1,Y,0.28,1.000,0.28,1,cnn_candidate,-1,24.78,17.73,17.51,17.53,-1,-1,-1,-1,0.00,43.02,0.28,0.24,0.17,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00039,EuclidID_1504262383018885888,HST,039,,101542818,150.4262383,1.8885830,150.4262383,1.8885830,0.000,-1,F814W,0.15,1.000,0.15,1,cnn_candidate,24.17,-1,12.85,12.13,12.36,-1,-1,-1,-1,0.15,0.00,6.39,9.36,6.32,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00040,HSTID_272,EUCLID-NISP,051,,101542819,150.4486100,1.9858750,150.4486100,1.9858750,0.000,-1,J,160.88,1.000,160.88,1,cnn_candidate,20.22,-1,14.60,14.29,14.19,-1,-1,-1,-1,1393.18,0.00,128.75,160.88,148.37,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00041,EuclidID_1494260040017691136,EUCLID-VIS,033,,101541374,149.4260041,1.7691156,149.4260041,1.7691156,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,-1,9.05,8.83,8.89,-1,-1,-1,-1,0.00,0.00,398.51,349.81,638.10,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00042,EuclidID_1507683233017340928,HST,025,,101541380,150.7683233,1.7340830,150.7683233,1.7340830,0.000,-1,F814W,7.73,1.000,7.73,1,cnn_candidate,26.98,-1,19.82,18.59,17.52,-1,-1,-1,-1,7.73,0.00,8.41,19.57,54.05,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00043,EuclidID_1492265007016184320,EUCLID-NISP,,,101539934,149.2265007,1.6184399,149.2265007,1.6184399,0.000,-1,Y,13358.44,1.000,13358.44,1,cnn_candidate,-1,27.93,11.57,-1,16.55,-1,-1,-1,-1,0.00,3.68,13358.44,-1.26,126.43,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00044,EuclidID_1506014578028925696,EUCLID-VIS,110,,101548577,150.6014579,2.8925637,150.6014579,2.8925637,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,-1,9.02,9.85,8.86,-1,-1,-1,-1,0.00,-2.62,337.16,199.90,878.73,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00045,EuclidID_1507868800029109504,EUCLID-NISP,109,,101548577,150.7868800,2.9109469,150.7868800,2.9109469,0.000,-1,H,18.33,1.000,18.33,1,cnn_candidate,-1,26.00,19.50,18.42,18.31,-1,-1,-1,-1,0.00,19.88,0.66,16.20,18.33,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00046,EuclidID_1499763454031323648,EUCLID-NISP,,,101550013,149.9763454,3.1323622,149.9763454,3.1323622,0.000,-1,J,1.43,1.000,1.43,1,cnn_candidate,-1,26.78,19.35,16.46,18.30,-1,-1,-1,-1,0.00,13.83,0.19,1.43,0.10,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00047,EuclidID_1499805278015658496,EUCLID-NISP,018,,101539937,149.9805278,1.5658493,149.9805278,1.5658493,0.000,-1,H,0.09,1.000,0.09,1,cnn_candidate,-1,26.53,19.17,18.56,18.32,-1,-1,-1,-1,0.00,15.79,0.08,0.09,0.09,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00048,HSTID_1277,EUCLID-NISP,039,,101542819,150.4566510,1.9514920,150.4566510,1.9514920,0.000,-1,J,7.90,1.000,7.90,1,cnn_candidate,26.09,-1,19.55,19.18,19.53,-1,-1,-1,-1,45.19,0.00,7.03,7.90,6.05,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00049,EuclidID_1506849615014228992,EUCLID-NISP,,,101539940,150.6849616,1.4228878,150.6849616,1.4228878,0.000,-1,H,39.41,1.000,39.41,1,cnn_candidate,-1,-1,20.04,20.27,15.94,-1,-1,-1,-1,0.00,0.00,4.10,3.31,39.41,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00050,HSTID_161,EUCLID-NISP,063,B10,101544259,150.5158020,2.2382630,150.5158020,2.2382630,0.000,-1,J,1205.99,1.000,1205.99,1,cnn_candidate,20.14,-1,13.37,13.02,13.09,-1,-1,-1,-1,1437.22,0.00,1143.25,1205.99,983.50,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,1.0000,1.0000
cand_00051,HSTID_328,EUCLID-NISP,056,,101542815,149.6243410,2.0373850,149.6243410,2.0373850,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,26.73,26.51,-1,-1,-1,-1,-1,-1,-1,20.98,9.99,-10.12,-7.00,-6.35,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00052,766536,HST,063,B10,101544259,150.4711818,2.2143498,150.4711818,2.2143498,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,27.28,21.18,21.14,21.05,29.07,28.63,27.18,27.63,-0.54,1.50,3.60,2.22,1.29,6.53,8.94,41.48,19.37,1.0000,0.0000,0.0000,0.0000,1.0000
cand_00053,EuclidID_1507617890023109120,HST,073,,101544260,150.7617891,2.3109201,150.7617891,2.3109201,0.000,-1,F814W,8.42,1.000,8.42,1,cnn_candidate,26.88,26.33,20.56,19.51,19.43,-1,-1,-1,-1,8.42,45.75,14.32,31.58,28.09,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00054,HSTID_1689,EUCLID-NISP,078,B7,101544257,149.9801800,2.3360960,149.9801800,2.3360960,0.000,-1,H,32.54,1.000,32.54,1,cnn_candidate,25.79,25.53,17.48,16.56,15.83,27.70,27.60,25.55,25.53,52.15,2.09,17.72,21.41,32.54,5.25,6.31,16.98,1.96,0.0000,0.0000,0.0000,1.0000,1.0000
cand_00055,520991,JWST,075,B4,101545698,150.4166620,2.4468650,150.4166620,2.4468650,0.000,-1,F277W,66.80,1.000,66.80,1,cnn_candidate,26.60,26.36,19.83,19.22,18.66,30.51,29.39,25.88,25.77,25.78,41.17,13.91,16.26,23.92,0.65,1.28,66.80,0.14,0.0000,1.0000,0.0000,0.0000,1.0000
cand_00056,EuclidID_1497911758014562304,EUCLID-NISP,,,101539936,149.7911759,1.4562260,149.7911759,1.4562260,0.000,-1,H,76.67,1.000,76.67,1,cnn_candidate,-1,-1,19.89,-1,13.33,-1,-1,-1,-1,0.00,-1.38,5.03,-0.59,76.67,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00057,EuclidID_1493993223024448768,EUCLID-NISP,081,,101545694,149.3993224,2.4448780,149.3993224,2.4448780,0.000,-1,Y,2081.99,1.000,2081.99,1,cnn_candidate,-1,28.87,13.09,19.65,-1,-1,-1,-1,-1,0.00,1.15,2081.99,3.41,-4.74,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00058,EuclidID_1495773762015401728,EUCLID-NISP,020,,101539935,149.5773762,1.5401642,149.5773762,1.5401642,0.000,-1,J,8.66,1.000,8.66,1,cnn_candidate,-1,26.64,20.18,19.40,19.86,-1,-1,-1,-1,0.00,13.43,5.15,8.66,5.78,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00059,133347,JWST,052,A4,101542818,150.2457203,2.0706675,150.2457203,2.0706675,0.000,-1,F444W,44.77,1.000,44.77,1,cnn_candidate,26.65,26.01,18.94,18.62,18.61,27.73,28.20,26.08,26.12,24.65,52.39,12.08,11.60,12.45,9.56,7.99,39.76,44.77,0.0000,1.0000,0.0000,0.0000,1.0000
cand_00060,EuclidID_1500263116028615936,EUCLID-NISP,114,,101547136,150.0263117,2.8615822,150.0263117,2.8615822,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,25.96,-1,-1,-1,-1,-1,-1,-1,0.00,18.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00061,EuclidID_1500263148028615936,EUCLID-NISP,114,,101547136,150.0263149,2.8615867,150.0263149,2.8615867,0.000,-1,,0.00,1.000,0.00,1,cnn_candidate,-1,25.96,-1,-1,-1,-1,-1,-1,-1,0.00,16.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00062,EuclidID_1495677951030320640,EUCLID-VIS,,,101548573,149.5677951,3.0320645,149.5677951,3.0320645,0.000,-1,VIS,602.25,1.000,602.25,1,cnn_candidate,-1,21.85,-1,19.15,-1,-1,-1,-1,-1,0.00,602.25,-4.63,6.23,-1.33,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00063,437021,JWST,089,B2,101545697,150.0650570,2.5433020,150.0650570,2.5433020,0.000,-1,F444W,51.43,1.000,51.43,1,cnn_candidate,26.54,26.71,19.30,19.08,18.98,28.37,29.21,25.79,25.25,27.43,29.79,60.97,69.82,80.83,3.13,1.06,0.68,51.43,0.0000,1.0000,0.0000,0.0000,1.0000
cand_00064,EuclidID_1505248908012454400,EUCLID-NISP,,,101538499,150.5248909,1.2454358,150.5248909,1.2454358,0.000,-1,Y,4168.90,1.000,4168.90,1,cnn_candidate,-1,29.23,13.28,-1,23.82,-1,-1,-1,-1,0.00,0.66,4168.90,0.00,0.27,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00065,HSTID_105,EUCLID-VIS,031,,101541376,149.7615350,1.6372100,149.7615350,1.6372100,0.000,-1,VIS,81.97,1.000,81.97,1,cnn_candidate,19.87,20.45,13.12,12.68,12.78,-1,-1,-1,-1,1416.87,81.97,2199.81,2570.67,2684.74,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00066,EuclidID_1499701414031313152,EUCLID-NISP,,,101550013,149.9701414,3.1313135,149.9701414,3.1313135,0.000,-1,H,80.67,1.000,80.67,1,cnn_candidate,-1,24.92,17.23,17.31,17.05,-1,-1,-1,-1,0.00,39.19,75.20,57.05,80.67,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00067,EuclidID_1492637510019664640,EUCLID-NISP,,,101542814,149.2637510,1.9664649,149.2637510,1.9664649,0.000,-1,H,7.95,1.000,7.95,1,cnn_candidate,-1,26.15,20.46,19.47,19.37,-1,-1,-1,-1,0.00,17.90,0.09,6.41,7.95,0.00,0.00,0.00,0.00,nan,nan,0.0000,1.0000,1.0000
cand_00068,60171,JWST,066,A2,101544257,149.9945836,2.2046134,149.9945836,2.2046134,0.000,-1,F444W,58.16,1.000,58.16,1,cnn_candidate,27.23,26.46,19.22,18.71,18.69,27.37,26.94,25.44,26.05,14.45,40.82,55.24,68.81,87.25,16.19,25.77,1.17,58.16,0.0000,1.0000,0.0000,0.0000,1.0000
cand_00069,EuclidID_1496900590022766592,EUCLID-VIS,068,,101544255,149.6900130,2.2766960,149.6900130,2.2766960,0.000,-1,VIS,45.55,1.000,45.55,1,cnn_candidate,20.45,21.34,13.48,13.14,13.33,-1,-1,-1,-1,1352.94,45.55,1842.19,1740.90,1858.63,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00070,EuclidID_1495113933028471808,EUCLID-NISP,117,,101547133,149.5113934,2.8471873,149.5113934,2.8471873,0.000,-1,J,7.62,1.000,7.62,1,cnn_candidate,26.49,26.01,19.64,19.48,18.61,-1,-1,-1,-1,31.65,13.66,6.30,7.62,0.20,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00071,EuclidID_1499811802015739904,EUCLID-NISP,018,,101539937,149.9811803,1.5739845,149.9811803,1.5739845,0.000,-1,Y,1.91,1.000,1.91,1,cnn_candidate,-1,24.76,18.49,18.04,18.16,-1,-1,-1,-1,0.00,166.46,1.91,1.16,0.51,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00072,HSTID_131,EUCLID-NISP,089,B2,101545697,150.1239610,2.5920020,150.1239610,2.5920020,0.000,-1,H,57.48,1.000,57.48,1,cnn_candidate,18.44,23.12,11.41,10.87,10.87,27.53,33.08,27.48,-1,319.03,0.07,30.18,33.08,57.48,0.25,0.00,0.04,-0.14,0.0000,0.0000,0.0000,1.0000,1.0000
cand_00073,HSTID_932,HST,026,,101541380,150.6875460,1.7559750,150.6875460,1.7559750,0.000,-1,F814W,39.90,1.000,39.90,1,cnn_candidate,25.23,26.89,19.05,18.61,18.77,-1,-1,-1,-1,39.90,2.93,26.50,26.16,22.91,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00074,EuclidID_1504166375024468480,JWST,075,B4,101545698,150.4166375,2.4468583,150.4166375,2.4468583,0.000,-1,F277W,94.16,1.000,94.16,1,cnn_candidate,27.01,26.17,19.78,19.19,18.62,27.47,27.07,25.63,25.57,18.00,54.69,12.44,13.95,20.56,14.76,22.89,94.16,0.14,0.0000,1.0000,0.0000,0.0000,1.0000
